Category,Aantal per 100.000 inwoners,Aantal
Noord-Beveland,13.5,1
Noordenveld,6.4,2
Noordoostpolder,19.0,9
Noordwijk,27.6,12
"Nuenen, Gerwen en Nederwetten",55.6,13
Nunspeet,100.6,28
Oegstgeest,24.2,6
Oirschot,53.4,10
Oisterwijk,61.0,16
Oldambt,5.2,2
Oldebroek,93.0,22
Oldenzaal,44.0,14
Olst-Wijhe,49.3,9
Ommen,38.9,7
Oost Gelre,20.3,6
Oosterhout,60.7,34
Ooststellingwerf,3.9,1
Oostzaan,82.2,8
Opmeer,8.4,1
Opsterland,16.8,5
Oss,121.8,112
Oude IJsselstreek,17.8,7
Ouder-Amstel,35.6,5
Oudewater,205.4,21
Overbetuwe,108.5,52
Papendrecht,21.8,7
Peel en Maas,306.3,133
Pekela,32.8,4
Pijnacker-Nootdorp,32.5,18
Purmerend,67.7,55
Putten,12.4,3
Raalte,53.0,20
Reimerswaal,17.6,4
Renkum,44.6,14
Renswoude,73.4,4
Reusel-De Mierden,53.4,7
Rheden,70.9,31
Rhenen,14.9,3
Ridderkerk,60.6,28
Rijssen-Holten,57.6,22
Rijswijk,31.2,17
Roerdalen,121.5,25
Roermond,82.4,48
Roosendaal,23.3,18
Rotterdam,42.2,275
Rozendaal,58.7,1
Rucphen,30.6,7
s-Gravenhage,36.7,200
Schagen,34.4,16
Scherpenzeel,30.4,3
Schiedam,38.1,30
Schiermonnikoog,0.0,0
Schouwen-Duiveland,26.6,9
Simpelveld,161.1,17
Sint Anthonis,154.2,18
Sint-Michielsgestel,92.5,27
Sittard-Geleen,98.5,91
Sliedrecht,23.8,6
Sluis,30.2,7
Smallingerland,10.7,6
Soest,40.8,19
Someren,123.9,24
Son en Breugel,144.3,25
Stadskanaal,6.3,2
Staphorst,40.8,7
Stede Broec,73.6,16
Steenbergen,44.9,11
Steenwijkerland,22.7,10
Stein,144.0,36
Stichtse Vecht,40.0,26
Súdwest-Fryslân,17.8,16
Terneuzen,34.9,19
Terschelling,0.0,0
Texel,22.1,3
Teylingen,32.1,12
Tholen,132.0,34
Tiel,80.6,34
Tilburg,71.9,158
Tubbergen,47.0,10
Twenterand,26.7,9
Tynaarlo,20.7,7
Tytsjerksteradiel,12.5,4
Uden,208.9,88
Uitgeest,22.0,3
Uithoorn,40.7,12
Urk,90.3,19
Utrecht,43.6,156
Utrechtse Heuvelrug,42.3,21
Vaals,89.1,9
Valkenburg aan de Geul,79.5,13
Valkenswaard,41.7,13
Veendam,7.3,2
Veenendaal,45.1,30
Veere,22.8,5
Veldhoven,46.2,21
Velsen,36.4,25
Venlo,111.0,113
Venray,80.3,35
Vijfheerenlanden,35.2,20
Vlaardingen,36.8,27
Vlieland,0.0,0
Vlissingen,18.0,8
Voerendaal,104.2,13
Voorschoten,35.2,9
Voorst,40.7,10
Vught,131.8,35
Waadhoeke,13.0,6
Waalre,28.6,5
Waalwijk,47.3,23
Waddinxveen,37.6,11
Wageningen,27.7,11
Wassenaar,26.7,7
Waterland,68.9,12
Weert,109.8,55
Weesp,45.6,9
West Betuwe,56.6,29
West Maas en Waal,56.9,11
Westerkwartier,20.5,13
Westerveld,30.8,6
Westervoort,60.1,9
Westerwolde,19.4,5
Westland,36.2,40
Weststellingwerf,7.7,2
Westvoorne,40.7,6
Wierden,16.4,4
Wijchen,87.5,36
Wijdemeren,28.7,7
Wijk bij Duurstede,29.3,7
Winterswijk,10.4,3
Woensdrecht,18.3,4
Woerden,70.8,37
Wormerland,98.2,16
Woudenberg,52.4,7
Zaanstad,56.2,88
Zaltbommel,58.8,17
Zandvoort,46.7,8
Zeewolde,35.3,8
Zeist,41.6,27
Zevenaar,82.3,36
Zoetermeer,27.1,34
Zoeterwoude,23.2,2
Zuidplas,38.7,17
Zundert,73.3,16
Zutphen,35.5,17
Zwartewaterland,132.2,30
Zwijndrecht,26.8,12
Zwolle,34.2,44
