Category,Aantal per 100.000 inwoners,Aantal
Reusel-De Mierden,53.4,7
Rheden,66.3,29
Rhenen,14.9,3
Ridderkerk,60.6,28
Rijssen-Holten,49.8,19
Rijswijk,27.6,15
Roerdalen,116.7,24
Roermond,72.1,42
Roosendaal,19.4,15
Rotterdam,36.7,239
Rozendaal,58.7,1
Rucphen,26.2,6
s-Gravenhage,30.6,167
Schagen,30.1,14
Scherpenzeel,20.2,2
Schiedam,38.1,30
Schiermonnikoog,0.0,0
Schouwen-Duiveland,26.6,9
Simpelveld,151.6,16
Sint Anthonis,145.6,17
Sint-Michielsgestel,71.9,21
Sittard-Geleen,87.6,81
Sliedrecht,23.8,6
Sluis,25.8,6
Smallingerland,10.7,6
Soest,36.5,17
Someren,103.2,20
Son en Breugel,132.8,23
Stadskanaal,3.2,1
Staphorst,23.3,4
Stede Broec,69.0,15
Steenbergen,36.7,9
Steenwijkerland,22.7,10
Stein,140.0,35
Stichtse Vecht,38.5,25
Súdwest-Fryslân,15.6,14
Terneuzen,31.2,17
Terschelling,0.0,0
Texel,22.1,3
Teylingen,29.4,11
Tholen,128.1,33
Tiel,73.5,31
Tilburg,69.6,153
Tubbergen,47.0,10
Twenterand,23.7,8
Tynaarlo,20.7,7
Tytsjerksteradiel,12.5,4
Uden,204.2,86
Uitgeest,22.0,3
Uithoorn,40.7,12
Urk,85.6,18
Utrecht,40.0,143
Utrechtse Heuvelrug,38.3,19
Vaals,79.2,8
Valkenburg aan de Geul,79.5,13
Valkenswaard,32.1,10
Veendam,3.7,1
Veenendaal,36.1,24
Veere,18.3,4
Veldhoven,39.6,18
Velsen,30.6,21
Venlo,103.1,105
Venray,78.0,34
Vijfheerenlanden,35.2,20
Vlaardingen,35.4,26
Vlieland,0.0,0
Vlissingen,18.0,8
Voerendaal,96.2,12
Voorschoten,31.2,8
Voorst,36.7,9
Vught,124.3,33
Waadhoeke,13.0,6
Waalre,22.9,4
Waalwijk,47.3,23
Waddinxveen,37.6,11
Wageningen,25.2,10
Wassenaar,22.9,6
Waterland,63.1,11
Weert,103.8,52
Weesp,40.5,8
West Betuwe,52.7,27
West Maas en Waal,56.9,11
Westerkwartier,18.9,12
Westerveld,25.7,5
Westervoort,53.4,8
Westerwolde,19.4,5
Westland,35.3,39
Weststellingwerf,7.7,2
Westvoorne,40.7,6
Wierden,16.4,4
Wijchen,85.1,35
Wijdemeren,28.7,7
Wijk bij Duurstede,33.5,8
Winterswijk,6.9,2
Woensdrecht,18.3,4
Woerden,66.9,35
Wormerland,92.0,15
Woudenberg,52.4,7
Zaanstad,54.9,86
Zaltbommel,51.9,15
Zandvoort,46.7,8
Zeewolde,26.5,6
Zeist,40.0,26
Zevenaar,64.0,28
Zoetermeer,24.7,31
Zoeterwoude,23.2,2
Zuidplas,36.5,16
Zundert,68.7,15
Zutphen,25.0,12
Zwartewaterland,127.8,29
Zwijndrecht,26.8,12
Zwolle,32.6,42
