,Category,Aantal per 100.000 inwoners,Aantal
211,Noordoostpolder,21.2,10
212,Noordwijk,23.0,10
213,"Nuenen, Gerwen en Nederwetten",47.1,11
214,Nunspeet,140.1,39
215,Oegstgeest,48.3,12
216,Oirschot,53.4,10
217,Oisterwijk,87.6,23
218,Oldambt,0.0,0
219,Oldebroek,80.4,19
220,Oldenzaal,53.4,17
221,Olst-Wijhe,32.9,6
222,Ommen,38.9,7
223,Oost Gelre,23.6,7
224,Oosterhout,55.4,31
225,Ooststellingwerf,3.9,1
226,Oostzaan,71.9,7
227,Opmeer,16.9,2
228,Opsterland,20.2,6
229,Oss,139.2,128
230,Oude IJsselstreek,12.7,5
231,Ouder-Amstel,49.9,7
232,Oudewater,176.0,18
233,Overbetuwe,106.5,51
234,Papendrecht,18.7,6
235,Peel en Maas,246.4,107
236,Pekela,16.4,2
237,Pijnacker-Nootdorp,41.6,23
238,Purmerend,59.1,48
239,Putten,24.9,6
240,Raalte,34.5,13
241,Reimerswaal,30.8,7
242,Renkum,54.1,17
243,Renswoude,18.4,1
244,Reusel-De Mierden,30.5,4
245,Rheden,61.7,27
246,Rhenen,24.8,5
247,Ridderkerk,41.1,19
248,Rijssen-Holten,34.1,13
249,Rijswijk,25.7,14
250,Roerdalen,63.2,13
251,Roermond,53.2,31
252,Roosendaal,32.4,25
253,Rotterdam,38.2,249
254,Rozendaal,117.3,2
255,Rucphen,43.7,10
256,Schagen,28.0,13
257,Scherpenzeel,40.5,4
258,Schiedam,24.1,19
259,Schiermonnikoog,0.0,0
260,Schouwen-Duiveland,26.6,9
261,Simpelveld,94.8,10
262,Sint Anthonis,154.2,18
263,Sint-Michielsgestel,95.9,28
264,Sittard-Geleen,106.0,98
265,Sliedrecht,23.8,6
266,Sluis,25.8,6
267,Smallingerland,8.9,5
268,Soest,60.1,28
269,Someren,98.1,19
270,Son en Breugel,115.5,20
271,Stadskanaal,3.2,1
272,Staphorst,29.2,5
273,Stede Broec,82.8,18
274,Steenbergen,57.1,14
275,Steenwijkerland,18.1,8
276,Stein,116.0,29
277,Stichtse Vecht,46.2,30
278,Súdwest-Fryslân,16.7,15
279,Terneuzen,29.4,16
280,Terschelling,0.0,0
281,Texel,22.1,3
282,Teylingen,29.4,11
283,Tholen,77.6,20
284,Tiel,54.6,23
285,Tilburg,115.6,254
286,Tubbergen,51.7,11
287,Twenterand,14.8,5
288,Tynaarlo,47.2,16
289,Tytsjerksteradiel,9.4,3
290,Uden,292.0,123
291,Uitgeest,51.3,7
292,Uithoorn,37.3,11
293,Urk,42.8,9
294,Utrecht,67.9,243
295,Utrechtse Heuvelrug,44.4,22
296,Vaals,59.4,6
297,Valkenburg aan de Geul,67.2,11
298,Valkenswaard,64.1,20
299,Veendam,3.7,1
300,Veenendaal,19.6,13
301,Veere,36.6,8
302,Veldhoven,48.4,22
303,Velsen,36.4,25
304,Venlo,65.8,67
305,Venray,48.2,21
306,Vijfheerenlanden,42.2,24
307,Vlaardingen,38.1,28
308,Vlieland,0.0,0
309,Vlissingen,18.0,8
310,Voerendaal,56.1,7
311,Voorschoten,23.4,6
312,Voorst,53.0,13
313,Vught,109.2,29
314,Waadhoeke,6.5,3
315,Waalre,34.4,6
316,Waalwijk,94.6,46
317,Waddinxveen,23.9,7
318,Wageningen,12.6,5
319,Wassenaar,22.9,6
320,Waterland,63.1,11
321,Weert,53.9,27
322,Weesp,40.5,8
323,West Betuwe,46.9,24
324,West Maas en Waal,67.3,13
325,Westerkwartier,23.7,15
326,Westerveld,15.4,3
327,Westervoort,13.4,2
328,Westerwolde,11.6,3
329,Westland,34.4,38
330,Weststellingwerf,7.7,2
331,Westvoorne,61.1,9
332,Wierden,16.4,4
333,Wijchen,73.0,30
334,Wijdemeren,16.4,4
335,Wijk bij Duurstede,29.3,7
336,Winterswijk,10.4,3
337,Woensdrecht,22.8,5
338,Woerden,47.8,25
339,Wormerland,36.8,6
340,Woudenberg,44.9,6
341,Zaanstad,29.4,46
342,Zaltbommel,31.1,9
343,Zandvoort,35.1,6
344,Zeewolde,30.9,7
345,Zeist,52.4,34
346,Zevenaar,27.4,12
347,Zoetermeer,13.6,17
348,Zoeterwoude,23.2,2
349,Zuidplas,25.1,11
350,Zundert,77.9,17
351,Zutphen,20.9,10
352,Zwartewaterland,158.7,36
353,Zwijndrecht,29.1,13
354,Zwolle,48.9,63
