Category,Aantal per 100.000 inwoners,Aantal
's-Gravenhage,42.7,233
Aa en Hunze,3.9,1
Aalsmeer,22.0,7
Aalten,7.4,2
Achtkarspelen,0.0,0
Alblasserdam,39.7,8
Albrandswaard,35.2,9
Alkmaar,44.8,49
Almelo,27.4,20
Almere,47.7,101
Alphen aan den Rijn,45.6,51
Alphen-Chaam,146.9,15
Altena,51.8,29
Ameland,0.0,0
Amersfoort,33.1,52
Amstelveen,52.3,48
Amsterdam,51.9,453
Apeldoorn,25.6,42
Appingedam,17.2,2
Arnhem,34.7,56
Assen,14.6,10
Asten,83.7,14
Baarle-Nassau,14.6,1
Baarn,40.2,10
Barendrecht,59.5,29
Barneveld,22.0,13
Beek,88.2,14
Beekdaelen,111.2,40
Beemster,39.9,4
Beesel,148.3,20
Berg en Dal,82.9,29
Bergeijk,75.1,14
Bergen (L.),45.9,6
Bergen (NH.),53.6,16
Bergen op Zoom,29.6,20
Berkelland,11.4,5
Bernheze,246.4,77
Best,103.4,31
Beuningen,73.4,19
Beverwijk,36.0,15
Bladel,78.5,16
Blaricum,52.0,6
Bloemendaal,25.5,6
Bodegraven-Reeuwijk,20.1,7
Boekel,287.5,31
Borger-Odoorn,7.8,2
Borne,55.8,13
Borsele,22.0,5
Boxmeer,57.9,17
Boxtel,58.4,18
Breda,74.9,138
Brielle,69.4,12
Bronckhorst,19.4,7
Brummen,57.8,12
Brunssum,115.0,32
Bunnik,46.1,7
Bunschoten,22.9,5
Buren,33.7,9
Capelle aan den IJssel,50.6,34
Castricum,36.1,13
Coevorden,34.0,12
Cranendonck,274.0,58
Cuijk,43.8,11
Culemborg,69.1,20
Dalfsen,52.5,15
Dantumadiel,10.6,2
De Bilt,46.4,20
De Fryske Marren,25.2,13
De Ronde Venen,69.7,31
De Wolden,37.0,9
Delft,34.7,36
Delfzijl,20.3,5
Den Helder,14.2,8
Deurne,154.0,50
Deventer,38.7,39
Diemen,16.2,5
Dinkelland,64.2,17
Doesburg,63.2,7
Doetinchem,19.0,11
Dongen,57.2,15
Dordrecht,56.2,67
Drechterland,15.2,3
Drimmelen,66.0,18
Dronten,55.3,23
Druten,105.7,20
Duiven,39.8,10
Echt-Susteren,113.9,36
Edam-Volendam,52.5,19
Ede,43.5,51
Eemnes,10.8,1
Eersel,108.7,21
Eijsden-Margraten,186.4,48
Eindhoven,60.6,142
Elburg,56.1,13
Emmen,14.0,15
Enkhuizen,96.8,18
Enschede,29.4,47
Epe,81.4,27
Ermelo,66.7,18
Etten-Leur,86.6,38
Geertruidenberg,41.8,9
Geldrop-Mierlo,60.4,24
Gemert-Bakel,227.8,70
Gennep,88.6,15
Gilze en Rijen,64.3,17
Goeree-Overflakkee,101.9,51
Goes,28.9,11
Goirle,104.6,25
Gooise Meren,39.6,23
Gorinchem,43.2,16
Gouda,43.6,32
Grave,144.7,18
Groningen,6.9,16
Gulpen-Wittem,105.8,15
Haaksbergen,57.6,14
Haaren,118.3,17
Haarlem,33.1,54
Haarlemmermeer,35.2,55
Halderberge,39.6,12
Hardenberg,34.5,21
Harderwijk,37.2,18
Hardinxveld-Giessendam,5.5,1
Harlingen,25.4,4
Hattem,81.9,10
Heemskerk,63.8,25
Heemstede,36.7,10
Heerde,156.0,29
Heerenveen,23.8,12
Heerhugowaard,43.4,25
Heerlen,113.7,99
Heeze-Leende,80.5,13
Heiloo,37.5,9
Hellendoorn,19.5,7
Hellevoetsluis,34.9,14
Helmond,97.4,90
Hendrik-Ido-Ambacht,19.2,6
Hengelo,20.9,17
Het Hogeland,14.6,7
Heumen,97.3,16
Heusden,87.3,39
Hillegom,31.5,7
Hilvarenbeek,38.7,6
Hilversum,24.2,22
Hoeksche Waard,75.5,66
Hof van Twente,40.0,14
Hollands Kroon,53.7,26
Hoogeveen,21.5,12
Hoorn,36.9,27
Horst aan de Maas,94.3,40
