,Category,Aantal per 100.000 inwoners,Aantal
0,'s-Gravenhage,19.2,103
1,'s-Hertogenbosch,56.4,87
2,Aa en Hunze,11.8,3
3,Aalsmeer,34.7,11
4,Aalten,7.4,2
5,Achtkarspelen,3.6,1
6,Alblasserdam,29.9,6
7,Albrandswaard,75.2,19
8,Alkmaar,26.7,29
9,Almelo,16.5,12
10,Almere,15.4,32
11,Alphen aan den Rijn,27.0,30
12,Alphen-Chaam,187.2,19
13,Altena,63.2,35
14,Ameland,0.0,0
15,Amersfoort,34.6,54
16,Amstelveen,50.6,46
17,Amsterdam,40.7,351
18,Apeldoorn,24.0,39
19,Appingedam,0.0,0
20,Arnhem,21.3,34
21,Assen,10.3,7
22,Asten,35.9,6
23,Baarle-Nassau,29.2,2
24,Baarn,20.2,5
25,Barendrecht,39.0,19
26,Barneveld,22.4,13
27,Beek,81.6,13
28,Beekdaelen,89.6,32
29,Beemster,20.5,2
30,Beesel,59.2,8
31,Berg en Dal,123.6,43
32,Bergeijk,59.5,11
33,Bergen (L),7.6,1
34,Bergen (NH),46.7,14
35,Bergen op Zoom,19.5,13
36,Berkelland,4.6,2
37,Bernheze,269.4,83
38,Best,70.4,21
39,Beuningen,58.0,15
40,Beverwijk,29.1,12
41,Bladel,74.3,15
42,Blaricum,53.6,6
43,Bloemendaal,68.3,16
44,Bodegraven-Reeuwijk,23.2,8
45,Boekel,396.7,42
46,Borger-Odoorn,0.0,0
47,Borne,51.7,12
48,Borsele,26.3,6
49,Boxmeer,34.4,10
50,Boxtel,61.8,19
51,Breda,109.3,201
52,Brielle,11.6,2
53,Bronckhorst,22.1,8
54,Brummen,19.3,4
55,Brunssum,78.3,22
56,Bunnik,59.2,9
57,Bunschoten,13.9,3
58,Buren,26.3,7
59,Capelle aan den IJssel,38.9,26
60,Castricum,36.3,13
61,Coevorden,47.9,17
62,Cranendonck,151.7,31
63,Cuijk,32.1,8
64,Culemborg,49.0,14
65,Dalfsen,45.6,13
66,Dantumadiel,5.3,1
67,De Bilt,79.4,34
68,De Fryske Marren,23.3,12
69,De Ronde Venen,29.5,13
70,De Wolden,12.4,3
71,Delft,24.2,25
72,Delfzijl,8.1,2
73,Den Helder,10.8,6
74,Deurne,108.2,35
75,Deventer,30.0,30
76,Diemen,20.6,6
77,Dinkelland,94.9,25
78,Doesburg,44.9,5
79,Doetinchem,29.5,17
80,Dongen,23.0,6
81,Dordrecht,23.6,28
82,Drechterland,20.4,4
83,Drimmelen,77.3,21
84,Dronten,27.0,11
85,Druten,37.2,7
86,Duiven,11.8,3
87,Echt-Susteren,72.7,23
88,Edam-Volendam,27.7,10
89,Ede,28.5,33
90,Eemnes,11.0,1
91,Eersel,73.3,14
92,Eijsden-Margraten,101.3,26
93,Eindhoven,40.1,93
94,Elburg,26.0,6
95,Emmen,7.5,8
96,Enkhuizen,81.1,15
97,Enschede,21.4,34
98,Epe,48.3,16
99,Ermelo,63.3,17
100,Etten-Leur,84.5,37
101,Geertruidenberg,51.1,11
102,Geldrop-Mierlo,40.4,16
103,Gemert-Bakel,233.2,71
104,Gennep,46.9,8
105,Gilze en Rijen,71.9,19
106,Goeree-Overflakkee,112.9,56
107,Goes,18.6,7
108,Goirle,88.3,21
109,Gooise Meren,34.7,20
110,Gorinchem,24.5,9
111,Gouda,34.2,25
112,Grave,112.2,14
113,Groningen,32.9,76
114,Gulpen-Wittem,35.1,5
115,Haaksbergen,16.5,4
116,Haaren,98.6,14
117,Haarlem,33.5,54
118,Haarlemmermeer,19.5,30
119,Halderberge,26.5,8
120,Hardenberg,14.9,9
121,Harderwijk,29.4,14
122,Hardinxveld-Giessendam,33.2,6
123,Harlingen,19.0,3
124,Hattem,41.1,5
125,Heemskerk,25.5,10
126,Heemstede,77.0,21
127,Heerde,129.4,24
128,Heerenveen,8.0,4
129,Heerhugowaard,33.5,19
130,Heerlen,72.6,63
131,Heeze-Leende,62.6,10
132,Heiloo,42.6,10
133,Hellendoorn,19.5,7
134,Hellevoetsluis,17.5,7
135,Helmond,72.1,66
136,Hendrik-Ido-Ambacht,16.1,5
137,Hengelo (O),26.0,21
138,Het Hogeland,12.5,6
139,Heumen,91.0,15
140,Heusden,56.6,25
141,Hillegom,13.7,3
142,Hilvarenbeek,65.2,10
143,Hilversum,19.9,18
144,Hoeksche Waard,49.6,43
145,Hof van Twente,22.9,8
146,Hollands Kroon,29.3,14
147,Hoogeveen,12.6,7
148,Hoorn,20.5,15
149,Horst aan de Maas,47.3,20
150,Houten,86.2,43
151,Huizen,19.4,8
152,Hulst,3.6,1
153,IJsselstein,67.3,23
154,Kaag en Braassem,18.6,5
155,Kampen,76.2,41
156,Kapelle,15.6,2
157,Katwijk,15.3,10
158,Kerkrade,57.0,26
159,Koggenland,26.4,6
160,Krimpen aan den IJssel,23.8,7
161,Krimpenerwaard,33.9,19
162,Laarbeek,107.5,24
163,Landerd,218.9,34
164,Landgraaf,66.5,25
165,Landsmeer,60.9,7
166,Langedijk,46.4,13
167,Lansingerland,45.5,28
168,Laren,44.7,5
169,Leeuwarden,12.2,15
170,Leiden,22.4,28
171,Leiderdorp,14.8,4
172,Leidschendam-Voorburg,22.5,17
173,Lelystad,34.7,27
174,Leudal,89.7,32
175,Leusden,43.3,13
176,Lingewaard,30.1,14
177,Lisse,8.8,2
178,Lochem,23.8,8
179,Loon op Zand,90.0,21
180,Lopik,82.9,12
181,Loppersum,10.4,1
182,Losser,4.4,1
