,Category,Aantal per 100.000 inwoners,Aantal
183,Maasdriel,20.2,5
184,Maasgouw,50.6,12
185,Maassluis,24.4,8
186,Maastricht,97.1,118
187,Medemblik,13.4,6
188,Meerssen,42.3,8
189,Meierijstad,207.9,168
190,Meppel,8.9,3
191,Middelburg,16.5,8
192,Midden-Delfland,10.3,2
193,Midden-Drenthe,6.0,2
194,Midden-Groningen,8.2,5
195,Mill en Sint Hubert,45.9,5
196,Moerdijk,13.5,5
197,Molenlanden,36.5,16
198,Montferland,11.1,4
199,Montfoort,64.3,9
200,Mook en Middelaar,64.1,5
201,Neder-Betuwe,54.1,13
202,Nederweert,105.9,18
203,Nieuwegein,23.8,15
204,Nieuwkoop,21.0,6
205,Nijkerk,27.9,12
206,Nijmegen,69.0,122
207,Nissewaard,27.1,23
208,Noardeast-Fryslân,6.6,3
209,Noord-Beveland,27.4,2
210,Noordenveld,9.6,3
211,Noordoostpolder,17.1,8
212,Noordwijk,18.7,8
213,"Nuenen, Gerwen en Nederwetten",43.1,10
214,Nunspeet,112.8,31
215,Oegstgeest,36.8,9
216,Oirschot,43.0,8
217,Oisterwijk,80.3,21
218,Oldambt,0.0,0
219,Oldebroek,67.8,16
220,Oldenzaal,47.1,15
221,Olst-Wijhe,33.2,6
222,Ommen,39.3,7
223,Oost Gelre,20.2,6
224,Oosterhout,52.1,29
225,Ooststellingwerf,3.9,1
226,Oostzaan,71.7,7
227,Opmeer,17.0,2
228,Opsterland,16.8,5
229,Oss,109.3,100
230,Oude IJsselstreek,12.7,5
231,Ouder-Amstel,50.3,7
232,Oudewater,117.6,12
233,Overbetuwe,92.5,44
234,Papendrecht,18.6,6
235,Peel en Maas,221.7,96
236,Pekela,16.4,2
237,Pijnacker-Nootdorp,36.8,20
238,Purmerend,48.7,39
239,Putten,24.8,6
240,Raalte,32.0,12
241,Reimerswaal,30.9,7
242,Renkum,44.7,14
243,Renswoude,0.0,0
244,Reusel-De Mierden,30.6,4
245,Rheden,48.1,21
246,Rhenen,10.0,2
247,Ridderkerk,28.1,13
248,Rijssen-Holten,33.9,13
249,Rijswijk,20.6,11
250,Roerdalen,53.4,11
251,Roermond,49.8,29
252,Roosendaal,31.2,24
253,Rotterdam,31.6,204
254,Rozendaal,120.9,2
255,Rucphen,26.6,6
256,Schagen,25.8,12
257,Scherpenzeel,30.4,3
258,Schiedam,20.5,16
259,Schiermonnikoog,0.0,0
260,Schouwen-Duiveland,23.7,8
261,Simpelveld,95.1,10
262,Sint Anthonis,120.6,14
263,Sint-Michielsgestel,75.9,22
264,Sittard-Geleen,101.4,94
265,Sliedrecht,28.0,7
266,Sluis,25.7,6
267,Smallingerland,8.9,5
268,Soest,49.8,23
269,Someren,77.6,15
270,Son en Breugel,112.4,19
271,Stadskanaal,3.1,1
272,Staphorst,23.5,4
273,Stede Broec,78.3,17
274,Steenbergen,43.9,11
275,Steenwijkerland,18.2,8
276,Stein,112.2,28
277,Stichtse Vecht,42.0,27
278,Súdwest-Fryslân,13.4,12
279,Terneuzen,25.6,14
280,Terschelling,0.0,0
281,Texel,22.1,3
282,Teylingen,27.0,10
283,Tholen,54.3,14
284,Tiel,47.6,20
285,Tilburg,105.9,230
286,Tubbergen,42.3,9
287,Twenterand,8.9,3
288,Tynaarlo,44.5,15
289,Tytsjerksteradiel,6.3,2
290,Uden,256.1,107
291,Uitgeest,29.6,4
292,Uithoorn,23.8,7
293,Urk,38.5,8
294,Utrecht,60.9,215
295,Utrechtse Heuvelrug,34.3,17
296,Vaals,59.5,6
297,Valkenburg aan de Geul,60.7,10
298,Valkenswaard,55.0,17
299,Veendam,3.6,1
300,Veenendaal,10.7,7
301,Veere,32.1,7
302,Veldhoven,48.5,22
303,Velsen,33.7,23
304,Venlo,53.1,54
305,Venray,46.2,20
306,Vijfheerenlanden,43.1,24
307,Vlaardingen,33.1,24
308,Vlieland,0.0,0
309,Vlissingen,18.0,8
310,Voerendaal,56.2,7
311,Voorschoten,23.5,6
312,Voorst,41.0,10
313,Vught,94.7,25
314,Waadhoeke,4.3,2
315,Waalre,34.8,6
316,Waalwijk,80.8,39
317,Waddinxveen,21.2,6
318,Wageningen,10.3,4
319,Wassenaar,22.9,6
320,Waterland,63.5,11
321,Weert,56.2,28
322,Weesp,36.2,7
323,West Betuwe,43.4,22
324,West Maas en Waal,68.1,13
325,Westerkwartier,19.0,12
326,Westerveld,10.3,2
327,Westervoort,13.4,2
328,Westerwolde,11.9,3
329,Westland,27.6,30
330,Weststellingwerf,7.7,2
331,Westvoorne,54.7,8
332,Wierden,8.2,2
333,Wijchen,73.3,30
334,Wijdemeren,16.7,4
335,Wijk bij Duurstede,29.5,7
336,Winterswijk,6.9,2
337,Woensdrecht,22.9,5
338,Woerden,47.9,25
339,Wormerland,30.6,5
340,Woudenberg,53.2,7
341,Zaanstad,19.9,31
342,Zaltbommel,24.6,7
343,Zandvoort,35.3,6
344,Zeewolde,26.9,6
345,Zeist,43.8,28
346,Zevenaar,23.0,10
347,Zoetermeer,11.2,14
348,Zoeterwoude,11.8,1
349,Zuidplas,23.4,10
350,Zundert,69.4,15
351,Zutphen,16.8,8
352,Zwartewaterland,146.6,33
353,Zwijndrecht,24.6,11
354,Zwolle,43.9,56
