,Category,Aantal per 100.000 inwoners,Aantal
0,'s-Gravenhage,8.2,44
1,'s-Hertogenbosch,29.2,45
2,Aa en Hunze,0.0,0
3,Aalsmeer,15.8,5
4,Aalten,3.7,1
5,Achtkarspelen,0.0,0
6,Alblasserdam,14.9,3
7,Albrandswaard,31.7,8
8,Alkmaar,10.1,11
9,Almelo,5.5,4
10,Almere,5.3,11
11,Alphen aan den Rijn,13.5,15
12,Alphen-Chaam,69.0,7
13,Altena,39.7,22
14,Ameland,0.0,0
15,Amersfoort,23.7,37
16,Amstelveen,28.6,26
17,Amsterdam,18.7,161
18,Apeldoorn,9.8,16
19,Appingedam,0.0,0
20,Arnhem,9.4,15
21,Assen,1.5,1
22,Asten,29.9,5
23,Baarle-Nassau,14.6,1
24,Baarn,4.0,1
25,Barendrecht,18.5,9
26,Barneveld,13.8,8
27,Beek,31.4,5
28,Beekdaelen,53.2,19
29,Beemster,0.0,0
30,Beesel,22.2,3
31,Berg en Dal,71.8,25
32,Bergeijk,5.4,1
33,Bergen (L),7.6,1
34,Bergen (NH),20.0,6
35,Bergen op Zoom,13.5,9
36,Berkelland,2.3,1
37,Bernheze,133.1,41
38,Best,36.9,11
39,Beuningen,34.8,9
40,Beverwijk,14.6,6
41,Bladel,34.7,7
42,Blaricum,35.7,4
43,Bloemendaal,34.2,8
44,Bodegraven-Reeuwijk,8.7,3
45,Boekel,302.2,32
46,Borger-Odoorn,0.0,0
47,Borne,17.2,4
48,Borsele,13.2,3
49,Boxmeer,20.6,6
50,Boxtel,35.8,11
51,Breda,72.3,133
52,Brielle,5.8,1
53,Bronckhorst,16.6,6
54,Brummen,4.8,1
55,Brunssum,21.4,6
56,Bunnik,19.7,3
57,Bunschoten,0.0,0
58,Buren,18.8,5
59,Capelle aan den IJssel,4.5,3
60,Castricum,19.6,7
61,Coevorden,39.5,14
62,Cranendonck,53.8,11
63,Cuijk,16.0,4
64,Culemborg,17.5,5
65,Dalfsen,17.5,5
66,Dantumadiel,0.0,0
67,De Bilt,44.4,19
68,De Fryske Marren,15.6,8
69,De Ronde Venen,6.8,3
70,De Wolden,12.4,3
71,Delft,10.7,11
72,Delfzijl,0.0,0
73,Den Helder,5.4,3
74,Deurne,58.7,19
75,Deventer,16.0,16
76,Diemen,10.3,3
77,Dinkelland,49.3,13
78,Doesburg,26.9,3
79,Doetinchem,8.7,5
80,Dongen,7.7,2
81,Dordrecht,10.1,12
82,Drechterland,10.2,2
83,Drimmelen,51.6,14
84,Dronten,27.0,11
85,Druten,26.6,5
86,Duiven,7.9,2
87,Echt-Susteren,34.8,11
88,Edam-Volendam,11.1,4
89,Ede,11.2,13
90,Eemnes,11.0,1
91,Eersel,36.6,7
92,Eijsden-Margraten,23.4,6
93,Eindhoven,15.1,35
94,Elburg,8.7,2
95,Emmen,3.7,4
96,Enkhuizen,32.4,6
