,Category,Aantal per 100.000 inwoners,Aantal
0,'s-Gravenhage,9.9,53
1,'s-Hertogenbosch,38.9,60
2,Aa en Hunze,3.9,1
3,Aalsmeer,25.2,8
4,Aalten,3.7,1
5,Achtkarspelen,0.0,0
6,Alblasserdam,19.9,4
7,Albrandswaard,55.4,14
8,Alkmaar,14.7,16
9,Almelo,9.6,7
10,Almere,8.7,18
11,Alphen aan den Rijn,15.3,17
12,Alphen-Chaam,137.9,14
13,Altena,45.1,25
14,Ameland,0.0,0
15,Amersfoort,26.2,41
16,Amstelveen,31.9,29
17,Amsterdam,23.5,203
18,Apeldoorn,16.0,26
19,Appingedam,0.0,0
20,Arnhem,12.6,20
21,Assen,5.9,4
22,Asten,29.9,5
23,Baarle-Nassau,14.6,1
24,Baarn,8.1,2
25,Barendrecht,26.7,13
26,Barneveld,17.3,10
27,Beek,31.4,5
28,Beekdaelen,56.0,20
29,Beemster,0.0,0
30,Beesel,37.0,5
31,Berg en Dal,94.8,33
32,Bergeijk,16.2,3
33,Bergen (L),7.6,1
34,Bergen (NH),30.0,9
35,Bergen op Zoom,18.0,12
36,Berkelland,4.6,2
37,Bernheze,201.3,62
38,Best,46.9,14
39,Beuningen,46.4,12
40,Beverwijk,17.0,7
41,Bladel,59.5,12
42,Blaricum,35.7,4
43,Bloemendaal,47.0,11
44,Bodegraven-Reeuwijk,14.5,5
45,Boekel,377.8,40
46,Borger-Odoorn,0.0,0
47,Borne,30.2,7
48,Borsele,13.2,3
49,Boxmeer,24.1,7
50,Boxtel,39.0,12
51,Breda,87.6,161
52,Brielle,5.8,1
53,Bronckhorst,16.6,6
54,Brummen,19.3,4
55,Brunssum,28.5,8
56,Bunnik,26.3,4
57,Bunschoten,0.0,0
58,Buren,18.8,5
59,Capelle aan den IJssel,10.5,7
60,Castricum,22.4,8
61,Coevorden,39.5,14
62,Cranendonck,93.0,19
63,Cuijk,20.1,5
64,Culemborg,17.5,5
65,Dalfsen,31.6,9
66,Dantumadiel,0.0,0
67,De Bilt,53.7,23
68,De Fryske Marren,15.6,8
69,De Ronde Venen,13.6,6
70,De Wolden,12.4,3
71,Delft,15.5,16
72,Delfzijl,4.0,1
73,Den Helder,7.2,4
74,Deurne,68.0,22
75,Deventer,17.0,17
76,Diemen,13.7,4
77,Dinkelland,56.9,15
78,Doesburg,35.9,4
79,Doetinchem,10.4,6
80,Dongen,7.7,2
81,Dordrecht,14.3,17
82,Drechterland,10.2,2
83,Drimmelen,58.9,16
84,Dronten,27.0,11
85,Druten,31.9,6
86,Duiven,7.9,2
87,Echt-Susteren,44.3,14
88,Edam-Volendam,16.6,6
89,Ede,18.1,21
90,Eemnes,11.0,1
91,Eersel,52.3,10
92,Eijsden-Margraten,27.3,7
93,Eindhoven,23.7,55
94,Elburg,17.3,4
95,Emmen,5.6,6
96,Enkhuizen,43.2,8
97,Enschede,12.6,20
98,Epe,30.2,10
99,Ermelo,48.4,13
100,Etten-Leur,54.8,24
101,Geertruidenberg,46.5,10
102,Geldrop-Mierlo,20.2,8
103,Gemert-Bakel,183.9,56
104,Gennep,41.0,7
105,Gilze en Rijen,49.2,13
106,Goeree-Overflakkee,72.6,36
107,Goes,8.0,3
108,Goirle,54.6,13
109,Gooise Meren,19.1,11
110,Gorinchem,5.5,2
111,Gouda,21.9,16
112,Grave,88.1,11
113,Groningen,22.9,53
114,Gulpen-Wittem,14.0,2
115,Haaksbergen,12.4,3
116,Haaren,84.5,12
117,Haarlem,18.0,29
118,Haarlemmermeer,11.7,18
119,Halderberge,23.2,7
120,Hardenberg,6.6,4
121,Harderwijk,16.8,8
122,Hardinxveld-Giessendam,33.2,6
123,Harlingen,19.0,3
124,Hattem,8.2,1
125,Heemskerk,12.8,5
126,Heemstede,47.6,13
127,Heerde,70.1,13
128,Heerenveen,6.0,3
129,Heerhugowaard,17.6,10
130,Heerlen,33.4,29
131,Heeze-Leende,43.8,7
132,Heiloo,25.6,6
133,Hellendoorn,14.0,5
134,Hellevoetsluis,12.5,5
135,Helmond,53.5,49
