,Category,Aantal per 100.000 inwoners,Aantal
0,'s-Gravenhage,6.7,36
1,'s-Hertogenbosch,24.6,38
2,Aa en Hunze,0.0,0
3,Aalsmeer,15.8,5
4,Aalten,3.7,1
5,Achtkarspelen,0.0,0
6,Alblasserdam,14.9,3
7,Albrandswaard,19.8,5
8,Alkmaar,9.2,10
9,Almelo,4.1,3
10,Almere,2.4,5
11,Alphen aan den Rijn,11.7,13
12,Alphen-Chaam,59.1,6
13,Altena,34.3,19
14,Ameland,0.0,0
15,Amersfoort,20.5,32
16,Amstelveen,24.2,22
17,Amsterdam,14.7,127
18,Apeldoorn,8.0,13
19,Appingedam,0.0,0
20,Arnhem,8.2,13
21,Assen,1.5,1
22,Asten,12.0,2
23,Baarle-Nassau,14.6,1
24,Baarn,4.0,1
25,Barendrecht,10.3,5
26,Barneveld,13.8,8
27,Beek,31.4,5
28,Beekdaelen,53.2,19
29,Beemster,0.0,0
30,Beesel,7.4,1
31,Berg en Dal,57.5,20
32,Bergeijk,5.4,1
33,Bergen (L),7.6,1
34,Bergen (NH),13.3,4
35,Bergen op Zoom,12.0,8
36,Berkelland,2.3,1
37,Bernheze,120.1,37
38,Best,26.8,8
39,Beuningen,30.9,8
40,Beverwijk,14.6,6
41,Bladel,29.7,6
42,Blaricum,26.8,3
43,Bloemendaal,12.8,3
44,Bodegraven-Reeuwijk,2.9,1
45,Boekel,236.1,25
46,Borger-Odoorn,0.0,0
47,Borne,12.9,3
48,Borsele,13.2,3
49,Boxmeer,17.2,5
50,Boxtel,19.5,6
51,Breda,65.8,121
52,Brielle,5.8,1
53,Bronckhorst,13.8,5
54,Brummen,4.8,1
55,Brunssum,21.4,6
56,Bunnik,13.2,2
57,Bunschoten,0.0,0
58,Buren,18.8,5
59,Capelle aan den IJssel,4.5,3
60,Castricum,16.8,6
61,Coevorden,36.6,13
62,Cranendonck,39.1,8
63,Cuijk,16.0,4
64,Culemborg,14.0,4
65,Dalfsen,14.0,4
66,Dantumadiel,0.0,0
67,De Bilt,42.0,18
68,De Fryske Marren,11.7,6
69,De Ronde Venen,6.8,3
70,De Wolden,8.3,2
71,Delft,8.7,9
72,Delfzijl,0.0,0
73,Den Helder,3.6,2
74,Deurne,40.2,13
75,Deventer,7.0,7
76,Diemen,10.3,3
77,Dinkelland,34.2,9
78,Doesburg,26.9,3
79,Doetinchem,6.9,4
80,Dongen,7.7,2
81,Dordrecht,9.3,11
82,Drechterland,0.0,0
83,Drimmelen,47.9,13
84,Dronten,24.5,10
85,Druten,26.6,5
86,Duiven,7.9,2
87,Echt-Susteren,22.1,7
88,Edam-Volendam,8.3,3
89,Ede,7.8,9
90,Eemnes,11.0,1
91,Eersel,31.4,6
92,Eijsden-Margraten,23.4,6
93,Eindhoven,12.1,28
94,Elburg,8.7,2
95,Emmen,3.7,4
96,Enkhuizen,27.0,5
97,Enschede,5.0,8
98,Epe,12.1,4
99,Ermelo,33.5,9
100,Etten-Leur,34.3,15
101,Geertruidenberg,32.5,7
102,Geldrop-Mierlo,10.1,4
103,Gemert-Bakel,118.2,36
104,Gennep,23.4,4
105,Gilze en Rijen,26.5,7
106,Goeree-Overflakkee,28.2,14
107,Goes,8.0,3
108,Goirle,46.2,11
109,Gooise Meren,17.3,10
110,Gorinchem,0.0,0
111,Gouda,13.7,10
112,Grave,32.0,4
113,Groningen,12.1,28
114,Gulpen-Wittem,14.0,2
115,Haaksbergen,4.1,1
116,Haaren,63.4,9
117,Haarlem,10.5,17
118,Haarlemmermeer,5.2,8
119,Halderberge,6.6,2
120,Hardenberg,1.7,1
121,Harderwijk,10.5,5
122,Hardinxveld-Giessendam,33.2,6
123,Harlingen,6.3,1
124,Hattem,0.0,0
125,Heemskerk,12.8,5
126,Heemstede,25.7,7
127,Heerde,27.0,5
128,Heerenveen,2.0,1
129,Heerhugowaard,5.3,3
130,Heerlen,20.7,18
131,Heeze-Leende,25.1,4
132,Heiloo,12.8,3
133,Hellendoorn,5.6,2
134,Hellevoetsluis,10.0,4
135,Helmond,28.4,26
136,Hendrik-Ido-Ambacht,0.0,0
137,Hengelo (O),6.2,5
138,Het Hogeland,0.0,0
139,Heumen,42.5,7
140,Heusden,15.9,7
141,Hillegom,9.1,2
142,Hilvarenbeek,26.1,4
143,Hilversum,5.5,5
144,Hoeksche Waard,19.6,17
145,Hof van Twente,8.6,3
146,Hollands Kroon,6.3,3
147,Hoogeveen,7.2,4
148,Hoorn,4.1,3
149,Horst aan de Maas,26.0,11
150,Houten,34.1,17
151,Huizen,7.3,3
152,Hulst,0.0,0
153,IJsselstein,23.4,8
154,Kaag en Braassem,3.7,1
155,Kampen,9.3,5
156,Kapelle,15.6,2
157,Katwijk,4.6,3
158,Kerkrade,11.0,5
159,Koggenland,4.4,1
160,Krimpen aan den IJssel,6.8,2
161,Krimpenerwaard,12.5,7
162,Laarbeek,26.9,6
163,Landerd,128.8,20
164,Landgraaf,18.6,7
165,Landsmeer,34.8,4
166,Langedijk,14.3,4
167,Lansingerland,22.7,14
168,Laren,0.0,0
169,Leeuwarden,4.1,5
170,Leiden,11.2,14
171,Leiderdorp,7.4,2
172,Leidschendam-Voorburg,9.3,7
173,Lelystad,19.3,15
174,Leudal,44.8,16
175,Leusden,13.3,4
176,Lingewaard,12.9,6
177,Lisse,0.0,0
178,Lochem,6.0,2
179,Loon op Zand,55.7,13
180,Lopik,20.7,3
181,Loppersum,0.0,0
182,Losser,0.0,0
183,Maasdriel,8.1,2
184,Maasgouw,21.1,5
185,Maassluis,6.1,2
186,Maastricht,46.1,56
187,Medemblik,0.0,0
188,Meerssen,10.6,2
189,Meierijstad,100.2,81
190,Meppel,3.0,1
191,Middelburg,6.2,3
192,Midden-Delfland,10.3,2
193,Midden-Drenthe,3.0,1
194,Midden-Groningen,3.3,2
195,Mill en Sint Hubert,18.4,2
196,Moerdijk,8.1,3
197,Molenlanden,25.1,11
198,Montferland,2.8,1
199,Montfoort,0.0,0
200,Mook en Middelaar,12.8,1
201,Neder-Betuwe,20.8,5
202,Nederweert,41.2,7
203,Nieuwegein,12.7,8
204,Nieuwkoop,3.5,1
205,Nijkerk,4.7,2
206,Nijmegen,31.1,55
