,Category,Aantal per 100.000 inwoners,Aantal
207,Nissewaard,13.0,11
208,Noardeast-Fryslân,2.2,1
209,Noord-Beveland,0.0,0
210,Noordenveld,3.2,1
211,Noordoostpolder,4.3,2
212,Noordwijk,4.7,2
213,"Nuenen, Gerwen en Nederwetten",4.3,1
214,Nunspeet,14.6,4
215,Oegstgeest,24.6,6
216,Oirschot,5.4,1
217,Oisterwijk,45.9,12
218,Oldambt,0.0,0
219,Oldebroek,21.2,5
220,Oldenzaal,15.7,5
221,Olst-Wijhe,0.0,0
222,Ommen,16.8,3
223,Oost Gelre,3.4,1
224,Oosterhout,21.6,12
225,Ooststellingwerf,0.0,0
226,Oostzaan,30.7,3
227,Opmeer,0.0,0
228,Opsterland,6.7,2
229,Oss,38.3,35
230,Oude IJsselstreek,5.1,2
231,Ouder-Amstel,21.6,3
232,Oudewater,19.6,2
233,Overbetuwe,31.6,15
234,Papendrecht,6.2,2
235,Peel en Maas,113.1,49
236,Pekela,8.2,1
237,Pijnacker-Nootdorp,20.2,11
238,Purmerend,13.7,11
239,Putten,12.4,3
240,Raalte,8.0,3
241,Reimerswaal,22.0,5
242,Renkum,28.8,9
243,Renswoude,0.0,0
244,Reusel-De Mierden,0.0,0
245,Rheden,16.0,7
246,Rhenen,0.0,0
247,Ridderkerk,4.3,2
248,Rijssen-Holten,5.2,2
249,Rijswijk,7.5,4
250,Roerdalen,19.4,4
251,Roermond,25.8,15
252,Roosendaal,10.4,8
253,Rotterdam,16.1,104
254,Rozendaal,120.9,2
255,Rucphen,13.3,3
256,Schagen,12.9,6
257,Scherpenzeel,0.0,0
258,Schiedam,5.1,4
259,Schiermonnikoog,0.0,0
260,Schouwen-Duiveland,5.9,2
261,Simpelveld,47.5,5
262,Sint Anthonis,86.2,10
263,Sint-Michielsgestel,41.4,12
264,Sittard-Geleen,62.6,58
265,Sliedrecht,8.0,2
266,Sluis,12.8,3
267,Smallingerland,5.4,3
268,Soest,30.3,14
269,Someren,25.9,5
270,Son en Breugel,41.4,7
271,Stadskanaal,0.0,0
272,Staphorst,17.6,3
273,Stede Broec,13.8,3
274,Steenbergen,16.0,4
275,Steenwijkerland,2.3,1
276,Stein,20.0,5
277,Stichtse Vecht,15.5,10
278,Súdwest-Fryslân,2.2,2
279,Terneuzen,9.2,5
280,Terschelling,0.0,0
281,Texel,22.1,3
282,Teylingen,8.1,3
283,Tholen,7.8,2
284,Tiel,9.5,4
285,Tilburg,61.2,133
286,Tubbergen,14.1,3
287,Twenterand,0.0,0
288,Tynaarlo,14.8,5
289,Tytsjerksteradiel,3.1,1
290,Uden,169.9,71
291,Uitgeest,14.8,2
292,Uithoorn,6.8,2
293,Urk,24.1,5
294,Utrecht,28.6,101
295,Utrechtse Heuvelrug,16.2,8
296,Vaals,0.0,0
297,Valkenburg aan de Geul,24.3,4
298,Valkenswaard,6.5,2
299,Veendam,0.0,0
300,Veenendaal,3.0,2
301,Veere,9.2,2
302,Veldhoven,11.0,5
303,Velsen,7.3,5
304,Venlo,23.6,24
305,Venray,13.8,6
306,Vijfheerenlanden,12.6,7
307,Vlaardingen,9.7,7
308,Vlieland,0.0,0
309,Vlissingen,13.5,6
310,Voerendaal,32.1,4
311,Voorschoten,7.8,2
312,Voorst,4.1,1
313,Vught,30.3,8
314,Waadhoeke,0.0,0
315,Waalre,11.6,2
316,Waalwijk,31.1,15
317,Waddinxveen,10.6,3
318,Wageningen,5.2,2
319,Wassenaar,15.3,4
320,Waterland,40.4,7
321,Weert,8.0,4
322,Weesp,5.2,1
323,West Betuwe,21.7,11
324,West Maas en Waal,21.0,4
325,Westerkwartier,3.2,2
326,Westerveld,0.0,0
327,Westervoort,6.7,1
328,Westerwolde,0.0,0
329,Westland,8.3,9
330,Weststellingwerf,0.0,0
331,Westvoorne,20.5,3
332,Wierden,0.0,0
333,Wijchen,34.2,14
334,Wijdemeren,4.2,1
335,Wijk bij Duurstede,21.0,5
336,Winterswijk,0.0,0
337,Woensdrecht,0.0,0
338,Woerden,9.6,5
339,Wormerland,6.1,1
340,Woudenberg,22.8,3
341,Zaanstad,1.9,3
342,Zaltbommel,14.1,4
343,Zandvoort,5.9,1
344,Zeewolde,17.9,4
345,Zeist,20.3,13
346,Zevenaar,11.5,5
347,Zoetermeer,3.2,4
348,Zoeterwoude,0.0,0
349,Zuidplas,0.0,0
350,Zundert,32.4,7
351,Zutphen,4.2,2
352,Zwartewaterland,40.0,9
353,Zwijndrecht,13.4,6
354,Zwolle,14.1,18
