Category,Aantal per 100.000 inwoners,Aantal
's-Hertogenbosch,69.6,108
Aa en Hunze,3.9,1
Aalsmeer,22.0,7
Aalten,7.4,2
Achtkarspelen,0.0,0
Alblasserdam,39.7,8
Albrandswaard,31.3,8
Alkmaar,42.9,47
Almelo,24.6,18
Almere,44.8,95
Alphen aan den Rijn,43.8,49
Alphen-Chaam,146.9,15
Altena,48.2,27
Ameland,0.0,0
Amersfoort,30.5,48
Amstelveen,49.1,45
Amsterdam,45.9,401
Apeldoorn,23.2,38
Appingedam,17.2,2
Arnhem,32.8,53
Assen,14.6,10
Asten,71.7,12
Baarle-Nassau,14.6,1
Baarn,32.2,8
Barendrecht,57.5,28
Barneveld,20.3,12
Beek,88.2,14
Beekdaelen,111.2,40
Beemster,39.9,4
Beesel,148.3,20
Berg en Dal,82.9,29
Bergeijk,69.7,13
Bergen (L.),45.9,6
Bergen (NH.),53.6,16
Bergen op Zoom,28.2,19
Berkelland,11.4,5
Bernheze,243.2,76
Best,103.4,31
Beuningen,69.5,18
Beverwijk,36.0,15
Bladel,73.5,15
Blaricum,43.3,5
Bloemendaal,25.5,6
Bodegraven-Reeuwijk,20.1,7
Boekel,287.5,31
Borger-Odoorn,7.8,2
Borne,55.8,13
Borsele,17.6,4
Boxmeer,57.9,17
Boxtel,55.2,17
Breda,74.9,138
Brielle,63.7,11
Bronckhorst,13.9,5
Brummen,43.4,9
Brunssum,115.0,32
Bunnik,46.1,7
Bunschoten,18.3,4
Buren,26.2,7
Capelle aan den IJssel,49.1,33
Castricum,36.1,13
Coevorden,25.5,9
Cranendonck,269.3,57
Cuijk,35.8,9
Culemborg,69.1,20
Dalfsen,52.5,15
Dantumadiel,10.6,2
De Bilt,44.1,19
De Fryske Marren,25.2,13
De Ronde Venen,60.7,27
De Wolden,32.9,8
Delft,34.7,36
Delfzijl,20.3,5
Den Helder,14.2,8
Deurne,154.0,50
Deventer,36.7,37
Diemen,16.2,5
Dinkelland,64.2,17
Doesburg,45.1,5
Doetinchem,19.0,11
Dongen,57.2,15
Dordrecht,51.1,61
Drechterland,15.2,3
Drimmelen,62.3,17
Dronten,50.5,21
Druten,100.4,19
Duiven,39.8,10
Echt-Susteren,110.7,35
Edam-Volendam,52.5,19
Ede,41.8,49
Eemnes,10.8,1
Eersel,103.6,20
Eijsden-Margraten,182.5,47
Eindhoven,58.4,137
Elburg,51.8,12
Emmen,12.1,13
Enkhuizen,91.4,17
Enschede,29.4,47
Epe,66.3,22
Ermelo,66.7,18
Etten-Leur,84.3,37
Geertruidenberg,41.8,9
Geldrop-Mierlo,57.9,23
Gemert-Bakel,224.6,69
Gennep,82.7,14
Gilze en Rijen,64.3,17
Goeree-Overflakkee,93.9,47
Goes,26.3,10
Goirle,104.6,25
Gooise Meren,36.2,21
Gorinchem,37.8,14
Gouda,42.2,31
Grave,136.7,17
Groningen,6.9,16
Gulpen-Wittem,98.8,14
Haaksbergen,53.5,13
Haaren,104.4,15
Haarlem,31.9,52
Haarlemmermeer,34.0,53
Halderberge,36.3,11
Hardenberg,32.8,20
Harderwijk,31.0,15
Hardinxveld-Giessendam,5.5,1
Harlingen,19.1,3
Hattem,81.9,10
Heemskerk,63.8,25
Heemstede,33.0,9
Heerde,139.9,26
Heerenveen,23.8,12
Heerhugowaard,38.2,22
Heerlen,108.0,94
Heeze-Leende,74.3,12
Heiloo,37.5,9
Hellendoorn,19.5,7
Hellevoetsluis,29.9,12
Helmond,87.6,81
Hendrik-Ido-Ambacht,16.0,5
Hengelo,19.7,16
Het Hogeland,14.6,7
Heumen,97.3,16
Heusden,80.5,36
Hillegom,27.0,6
Hilvarenbeek,38.7,6
Hilversum,23.1,21
Hoeksche Waard,73.2,64
Hof van Twente,40.0,14
Hollands Kroon,53.7,26
Hoogeveen,18.0,10
Hoorn,32.8,24
Horst aan de Maas,94.3,40
Houten,35.9,18
Huizen,43.6,18
Hulst,29.0,8
IJsselstein,90.9,31
Kaag en Braassem,22.0,6
Kampen,93.9,51
Kapelle,15.8,2
Katwijk,27.4,18
Kerkrade,107.1,49
Koggenland,30.8,7
Krimpen aan den IJssel,27.1,8
Krimpenerwaard,71.0,40
Laarbeek,150.9,34
Landerd,184.4,29
Landgraaf,109.5,41
Landsmeer,26.1,3
Langedijk,53.3,15
Lansingerland,51.3,32
Laren,71.0,8
Leeuwarden,25.0,31
Leiden,25.6,32
Leiderdorp,33.3,9
Leidschendam-Voorburg,22.2,17
Lelystad,54.7,43
Leudal,144.9,52
Leusden,26.3,8
Lingewaard,51.5,24
Lisse,21.8,5
Lochem,29.6,10
Loon op Zand,85.4,20
Lopik,117.5,17
Loppersum,0.0,0
Losser,26.4,6
Maasdriel,59.9,15
Maasgouw,87.6,21
Maassluis,42.1,14
Maastricht,111.1,135
Medemblik,33.3,15
Meerssen,79.7,15
Meierijstad,204.4,166
Meppel,14.7,5
Middelburg,26.6,13
Midden-Delfland,20.7,4
Midden-Drenthe,18.1,6
Midden-Groningen,9.9,6
Mill en Sint Hubert,82.3,9
Moerdijk,24.2,9
Molenlanden,36.4,16
Montferland,25.0,9
Montfoort,86.2,12
Mook en Middelaar,63.7,5
Neder-Betuwe,127.4,31
Nederweert,164.5,28
Nieuwegein,47.3,30
Nieuwkoop,24.3,7
Nijkerk,48.6,21
Nijmegen,62.5,111
Nissewaard,37.5,32
Noardeast-Fryslân,13.3,6
Noord-Beveland,13.5,1
Noordenveld,6.4,2
Noordoostpolder,19.0,9
Noordwijk,29.9,13
"Nuenen, Gerwen en Nederwetten",59.9,14
Nunspeet,104.1,29
Oegstgeest,24.2,6
Oirschot,64.1,12
Oisterwijk,61.0,16
Oldambt,5.2,2
Oldebroek,97.3,23
Oldenzaal,44.0,14
Olst-Wijhe,54.8,10
Ommen,38.9,7
Oost Gelre,27.0,8
Oosterhout,60.7,34
Ooststellingwerf,3.9,1
Oostzaan,82.2,8
Opmeer,8.4,1
Opsterland,16.8,5
Oss,121.8,112
Oude IJsselstreek,22.8,9
Ouder-Amstel,35.6,5
Oudewater,205.4,21
Overbetuwe,110.6,53
Papendrecht,21.8,7
Peel en Maas,308.6,134
Pekela,32.8,4
Pijnacker-Nootdorp,34.3,19
Purmerend,67.7,55
Putten,12.4,3
Raalte,53.0,20
Reimerswaal,17.6,4
Renkum,44.6,14
Renswoude,73.4,4
Reusel-De Mierden,61.0,8
Rheden,70.9,31
Rhenen,19.9,4
Ridderkerk,62.8,29
Rijssen-Holten,60.2,23
Rijswijk,33.1,18
Roerdalen,121.5,25
Roermond,82.4,48
Roosendaal,24.6,19
Rotterdam,45.7,298
Rozendaal,58.7,1
Rucphen,30.6,7
s-Gravenhage,38.9,212
Schagen,34.4,16
Scherpenzeel,30.4,3
Schiedam,41.9,33
Schiermonnikoog,0.0,0
Schouwen-Duiveland,29.5,10
Simpelveld,161.1,17
Sint Anthonis,154.2,18
Sint-Michielsgestel,99.3,29
Sittard-Geleen,98.5,91
Sliedrecht,27.8,7
Sluis,30.2,7
Smallingerland,12.5,7
Soest,42.9,20
Someren,139.3,27
Son en Breugel,155.9,27
Stadskanaal,6.3,2
Staphorst,40.8,7
Stede Broec,73.6,16
Steenbergen,44.9,11
Steenwijkerland,24.9,11
Stein,144.0,36
Stichtse Vecht,40.0,26
Súdwest-Fryslân,17.8,16
Terneuzen,34.9,19
Terschelling,0.0,0
Texel,29.5,4
Teylingen,32.1,12
Tholen,132.0,34
Tiel,80.6,34
Tilburg,72.3,159
Tubbergen,47.0,10
Twenterand,26.7,9
Tynaarlo,20.7,7
Tytsjerksteradiel,12.5,4
Uden,208.9,88
Uitgeest,29.3,4
Uithoorn,40.7,12
Urk,90.3,19
Utrecht,45.6,163
Utrechtse Heuvelrug,42.3,21
Vaals,89.1,9
Valkenburg aan de Geul,85.6,14
Valkenswaard,44.9,14
Veendam,7.3,2
Veenendaal,48.1,32
Veere,22.8,5
Veldhoven,55.0,25
Velsen,36.4,25
Venlo,113.0,115
Venray,80.3,35
Vijfheerenlanden,35.2,20
Vlaardingen,39.5,29
Vlieland,0.0,0
Vlissingen,18.0,8
Voerendaal,112.3,14
Voorschoten,35.2,9
Voorst,40.7,10
Vught,135.6,36
Waadhoeke,17.4,8
Waalre,28.6,5
Waalwijk,47.3,23
Waddinxveen,37.6,11
Wageningen,35.3,14
Wassenaar,26.7,7
Waterland,68.9,12
Weert,109.8,55
Weesp,45.6,9
West Betuwe,62.5,32
West Maas en Waal,62.1,12
Westerkwartier,22.1,14
Westerveld,30.8,6
Westervoort,66.8,10
Westerwolde,19.4,5
Westland,38.1,42
Weststellingwerf,7.7,2
Westvoorne,40.7,6
Wierden,16.4,4
Wijchen,90.0,37
Wijdemeren,28.7,7
Wijk bij Duurstede,33.5,8
Winterswijk,10.4,3
Woensdrecht,18.3,4
Woerden,80.3,42
Wormerland,98.2,16
Woudenberg,59.9,8
Zaanstad,56.2,88
Zaltbommel,58.8,17
Zandvoort,58.4,10
Zeewolde,35.3,8
Zeist,44.7,29
Zevenaar,89.2,39
Zoetermeer,29.5,37
Zoeterwoude,23.2,2
Zuidplas,38.7,17
Zundert,73.3,16
Zutphen,35.5,17
Zwartewaterland,136.6,31
Zwijndrecht,26.8,12
Zwolle,38.8,50
