Category,Aantal per 100.000 inwoners,Aantal
's-Gravenhage,41.1,224
Aa en Hunze,3.9,1
Aalsmeer,22.0,7
Aalten,7.4,2
Achtkarspelen,0.0,0
Alblasserdam,39.7,8
Albrandswaard,31.3,8
Alkmaar,43.9,48
Almelo,24.6,18
Almere,46.3,98
Alphen aan den Rijn,44.7,50
Alphen-Chaam,146.9,15
Altena,50.0,28
Ameland,0.0,0
Amersfoort,32.4,51
Amstelveen,50.2,46
Amsterdam,47.3,413
Apeldoorn,23.2,38
Appingedam,17.2,2
Arnhem,33.5,54
Assen,14.6,10
Asten,77.7,13
Baarle-Nassau,14.6,1
Baarn,36.2,9
Barendrecht,57.5,28
Barneveld,20.3,12
Beek,88.2,14
Beekdaelen,111.2,40
Beemster,39.9,4
Beesel,148.3,20
Berg en Dal,82.9,29
Bergeijk,75.1,14
Bergen (L.),45.9,6
Bergen (NH.),53.6,16
Bergen op Zoom,28.2,19
Berkelland,11.4,5
Bernheze,246.4,77
Best,103.4,31
Beuningen,69.5,18
Beverwijk,36.0,15
Bladel,73.5,15
Blaricum,43.3,5
Bloemendaal,25.5,6
Bodegraven-Reeuwijk,20.1,7
Boekel,287.5,31
Borger-Odoorn,7.8,2
Borne,55.8,13
Borsele,17.6,4
Boxmeer,57.9,17
Boxtel,55.2,17
Breda,74.9,138
Brielle,63.7,11
Bronckhorst,13.9,5
Brummen,48.2,10
Brunssum,115.0,32
Bunnik,46.1,7
Bunschoten,18.3,4
Buren,33.7,9
Capelle aan den IJssel,49.1,33
Castricum,36.1,13
Coevorden,25.5,9
Cranendonck,274.0,58
Cuijk,35.8,9
Culemborg,69.1,20
Dalfsen,52.5,15
Dantumadiel,10.6,2
De Bilt,44.1,19
De Fryske Marren,25.2,13
De Ronde Venen,63.0,28
De Wolden,32.9,8
Delft,34.7,36
Delfzijl,20.3,5
Den Helder,14.2,8
Deurne,154.0,50
Deventer,37.7,38
Diemen,16.2,5
Dinkelland,64.2,17
Doesburg,45.1,5
Doetinchem,19.0,11
Dongen,57.2,15
Dordrecht,52.8,63
Drechterland,15.2,3
Drimmelen,62.3,17
Dronten,50.5,21
Druten,100.4,19
Duiven,39.8,10
Echt-Susteren,110.7,35
Edam-Volendam,52.5,19
Ede,41.8,49
Eemnes,10.8,1
Eersel,108.7,21
Eijsden-Margraten,182.5,47
Eindhoven,59.7,140
Elburg,51.8,12
Emmen,13.1,14
Enkhuizen,91.4,17
Enschede,29.4,47
Epe,69.3,23
Ermelo,66.7,18
Etten-Leur,86.6,38
Geertruidenberg,41.8,9
Geldrop-Mierlo,60.4,24
Gemert-Bakel,227.8,70
Gennep,88.6,15
Gilze en Rijen,64.3,17
Goeree-Overflakkee,95.9,48
Goes,26.3,10
Goirle,104.6,25
Gooise Meren,36.2,21
Gorinchem,40.5,15
Gouda,42.2,31
Grave,136.7,17
Groningen,6.9,16
Gulpen-Wittem,105.8,15
Haaksbergen,57.6,14
Haaren,104.4,15
Haarlem,32.5,53
Haarlemmermeer,34.0,53
Halderberge,36.3,11
Hardenberg,34.5,21
Harderwijk,31.0,15
Hardinxveld-Giessendam,5.5,1
Harlingen,19.1,3
Hattem,81.9,10
Heemskerk,66.3,26
Heemstede,33.0,9
Heerde,139.9,26
Heerenveen,23.8,12
Heerhugowaard,39.9,23
Heerlen,109.1,95
Heeze-Leende,74.3,12
Heiloo,37.5,9
Hellendoorn,19.5,7
Hellevoetsluis,32.4,13
Helmond,93.0,86
Hendrik-Ido-Ambacht,16.0,5
Hengelo,19.7,16
Het Hogeland,14.6,7
Heumen,97.3,16
Heusden,80.5,36
Hillegom,27.0,6
Hilvarenbeek,38.7,6
Hilversum,24.2,22
Hoeksche Waard,74.3,65
Hof van Twente,40.0,14
Hollands Kroon,53.7,26
Hoogeveen,19.7,11
Hoorn,32.8,24
Horst aan de Maas,94.3,40
Houten,39.9,20
Huizen,41.2,17
Hulst,29.0,8
IJsselstein,93.8,32
Kaag en Braassem,22.0,6
Kampen,95.7,52
Kapelle,15.8,2
Katwijk,30.4,20
Kerkrade,111.5,51
Koggenland,30.8,7
Krimpen aan den IJssel,27.1,8
Krimpenerwaard,71.0,40
Laarbeek,155.3,35
Landerd,184.4,29
Landgraaf,109.5,41
Landsmeer,26.1,3
Langedijk,56.8,16
Lansingerland,52.9,33
Laren,71.0,8
Leeuwarden,25.0,31
Leiden,27.2,34
Leiderdorp,33.3,9
Leidschendam-Voorburg,23.5,18
Lelystad,57.2,45
Leudal,144.9,52
Leusden,26.3,8
Lingewaard,55.8,26
Lisse,21.8,5
Lochem,29.6,10
Loon op Zand,85.4,20
Lopik,117.5,17
Loppersum,0.0,0
Losser,26.4,6
Maasdriel,59.9,15
Maasgouw,91.8,22
Maassluis,42.1,14
Maastricht,112.7,137
Medemblik,35.5,16
Meerssen,79.7,15
Meierijstad,204.4,166
Meppel,14.7,5
Middelburg,26.6,13
Midden-Delfland,20.7,4
Midden-Drenthe,18.1,6
Midden-Groningen,9.9,6
Mill en Sint Hubert,82.3,9
Moerdijk,24.2,9
Molenlanden,36.4,16
Montferland,25.0,9
Montfoort,86.2,12
Mook en Middelaar,63.7,5
Neder-Betuwe,127.4,31
Nederweert,164.5,28
Nieuwegein,53.6,34
Nieuwkoop,24.3,7
Nijkerk,48.6,21
Nijmegen,62.5,111
Nissewaard,38.7,33
Noardeast-Fryslân,13.3,6
Noord-Beveland,13.5,1
Noordenveld,6.4,2
Noordoostpolder,21.2,10
Noordwijk,29.9,13
"Nuenen, Gerwen en Nederwetten",59.9,14
Nunspeet,107.7,30
Oegstgeest,24.2,6
Oirschot,64.1,12
