,Category,Aantal per 100.000 inwoners,Aantal
0,'s-Gravenhage,15.1,81
1,'s-Hertogenbosch,48.6,75
2,Aa en Hunze,3.9,1
3,Aalsmeer,31.5,10
4,Aalten,7.4,2
5,Achtkarspelen,3.6,1
6,Alblasserdam,24.9,5
7,Albrandswaard,71.2,18
8,Alkmaar,22.1,24
9,Almelo,13.7,10
10,Almere,13.5,28
11,Alphen aan den Rijn,19.8,22
12,Alphen-Chaam,157.7,16
13,Altena,63.2,35
14,Ameland,0.0,0
15,Amersfoort,30.1,47
16,Amstelveen,38.5,35
17,Amsterdam,34.4,297
18,Apeldoorn,20.9,34
19,Appingedam,0.0,0
20,Arnhem,15.7,25
21,Assen,7.4,5
22,Asten,35.9,6
23,Baarle-Nassau,29.2,2
24,Baarn,16.2,4
25,Barendrecht,32.9,16
26,Barneveld,22.4,13
27,Beek,81.6,13
28,Beekdaelen,84.0,30
29,Beemster,20.5,2
30,Beesel,51.8,7
31,Berg en Dal,106.3,37
32,Bergeijk,54.1,10
33,Bergen (L),7.6,1
34,Bergen (NH),40.0,12
35,Bergen op Zoom,18.0,12
36,Berkelland,4.6,2
37,Bernheze,224.0,69
38,Best,63.7,19
39,Beuningen,58.0,15
40,Beverwijk,26.7,11
41,Bladel,74.3,15
42,Blaricum,44.6,5
43,Bloemendaal,55.5,13
44,Bodegraven-Reeuwijk,14.5,5
45,Boekel,396.7,42
46,Borger-Odoorn,0.0,0
47,Borne,47.4,11
48,Borsele,21.9,5
49,Boxmeer,31.0,9
50,Boxtel,48.8,15
51,Breda,98.4,181
52,Brielle,5.8,1
53,Bronckhorst,19.3,7
54,Brummen,19.3,4
55,Brunssum,71.2,20
56,Bunnik,52.7,8
57,Bunschoten,13.9,3
58,Buren,26.3,7
59,Capelle aan den IJssel,34.4,23
60,Castricum,28.0,10
61,Coevorden,42.3,15
62,Cranendonck,122.3,25
63,Cuijk,32.1,8
64,Culemborg,28.0,8
65,Dalfsen,42.1,12
66,Dantumadiel,0.0,0
67,De Bilt,74.7,32
68,De Fryske Marren,17.5,9
69,De Ronde Venen,20.4,9
70,De Wolden,12.4,3
71,Delft,20.4,21
72,Delfzijl,4.0,1
73,Den Helder,9.0,5
74,Deurne,92.7,30
75,Deventer,26.0,26
76,Diemen,20.6,6
77,Dinkelland,75.9,20
78,Doesburg,44.9,5
79,Doetinchem,17.4,10
80,Dongen,23.0,6
81,Dordrecht,21.9,26
82,Drechterland,15.3,3
83,Drimmelen,73.7,20
84,Dronten,27.0,11
85,Druten,37.2,7
86,Duiven,7.9,2
87,Echt-Susteren,63.2,20
88,Edam-Volendam,24.9,9
89,Ede,22.5,26
90,Eemnes,11.0,1
91,Eersel,68.0,13
92,Eijsden-Margraten,77.9,20
93,Eindhoven,34.5,80
94,Elburg,21.7,5
95,Emmen,7.5,8
96,Enkhuizen,70.2,13
97,Enschede,16.4,26
98,Epe,45.3,15
99,Ermelo,63.3,17
100,Etten-Leur,70.8,31
101,Geertruidenberg,51.1,11
102,Geldrop-Mierlo,37.9,15
103,Gemert-Bakel,223.3,68
104,Gennep,41.0,7
105,Gilze en Rijen,68.1,18
106,Goeree-Overflakkee,88.7,44
107,Goes,10.6,4
108,Goirle,75.7,18
109,Gooise Meren,31.2,18
