,Category,Aantal per 100.000 inwoners,Aantal
110,Gorinchem,21.8,8
111,Gouda,24.6,18
112,Grave,88.1,11
113,Groningen,25.1,58
114,Gulpen-Wittem,35.1,5
115,Haaksbergen,12.4,3
116,Haaren,84.5,12
117,Haarlem,28.5,46
118,Haarlemmermeer,14.9,23
119,Halderberge,26.5,8
120,Hardenberg,11.6,7
121,Harderwijk,27.3,13
122,Hardinxveld-Giessendam,33.2,6
123,Harlingen,19.0,3
124,Hattem,24.6,3
125,Heemskerk,23.0,9
126,Heemstede,62.3,17
127,Heerde,102.4,19
128,Heerenveen,6.0,3
129,Heerhugowaard,28.2,16
130,Heerlen,61.0,53
131,Heeze-Leende,62.6,10
132,Heiloo,38.4,9
133,Hellendoorn,19.5,7
134,Hellevoetsluis,12.5,5
135,Helmond,68.8,63
136,Hendrik-Ido-Ambacht,9.7,3
137,Hengelo (O),21.1,17
138,Het Hogeland,8.4,4
139,Heumen,72.8,12
140,Heusden,45.3,20
141,Hillegom,13.7,3
142,Hilvarenbeek,65.2,10
143,Hilversum,17.7,16
144,Hoeksche Waard,41.5,36
145,Hof van Twente,17.2,6
146,Hollands Kroon,20.9,10
147,Hoogeveen,12.6,7
148,Hoorn,19.2,14
149,Horst aan de Maas,42.6,18
150,Houten,74.1,37
151,Huizen,17.0,7
152,Hulst,3.6,1
153,IJsselstein,52.7,18
154,Kaag en Braassem,18.6,5
155,Kampen,55.8,30
156,Kapelle,15.6,2
157,Katwijk,10.7,7
158,Kerkrade,46.0,21
159,Koggenland,22.0,5
160,Krimpen aan den IJssel,20.4,6
161,Krimpenerwaard,28.5,16
162,Laarbeek,85.1,19
163,Landerd,161.0,25
164,Landgraaf,55.9,21
165,Landsmeer,52.2,6
166,Langedijk,42.9,12
167,Lansingerland,40.6,25
168,Laren,35.7,4
169,Leeuwarden,9.7,12
170,Leiden,16.8,21
171,Leiderdorp,11.1,3
172,Leidschendam-Voorburg,18.6,14
173,Lelystad,33.4,26
174,Leudal,81.3,29
175,Leusden,43.3,13
176,Lingewaard,30.1,14
177,Lisse,8.8,2
178,Lochem,17.9,6
179,Loon op Zand,85.7,20
180,Lopik,76.0,11
181,Loppersum,0.0,0
182,Losser,4.4,1
183,Maasdriel,12.1,3
184,Maasgouw,42.2,10
185,Maassluis,21.4,7
186,Maastricht,92.1,112
187,Medemblik,8.9,4
188,Meerssen,42.3,8
189,Meierijstad,184.4,149
190,Meppel,8.9,3
191,Middelburg,14.4,7
192,Midden-Delfland,10.3,2
193,Midden-Drenthe,3.0,1
194,Midden-Groningen,3.3,2
195,Mill en Sint Hubert,45.9,5
196,Moerdijk,13.5,5
197,Molenlanden,36.5,16
198,Montferland,8.3,3
199,Montfoort,35.7,5
200,Mook en Middelaar,64.1,5
201,Neder-Betuwe,45.8,11
202,Nederweert,82.3,14
203,Nieuwegein,19.0,12
204,Nieuwkoop,21.0,6
205,Nijkerk,18.6,8
206,Nijmegen,61.1,108
207,Nissewaard,22.4,19
208,Noardeast-Fryslân,6.6,3
209,Noord-Beveland,27.4,2
210,Noordenveld,3.2,1
211,Noordoostpolder,10.7,5
212,Noordwijk,16.3,7
213,"Nuenen, Gerwen en Nederwetten",34.5,8
214,Nunspeet,105.5,29
215,Oegstgeest,36.8,9
216,Oirschot,32.2,6
217,Oisterwijk,68.9,18
218,Oldambt,0.0,0
219,Oldebroek,50.9,12
220,Oldenzaal,40.8,13
221,Olst-Wijhe,33.2,6
222,Ommen,39.3,7
223,Oost Gelre,20.2,6
224,Oosterhout,46.7,26
225,Ooststellingwerf,3.9,1
226,Oostzaan,61.5,6
227,Opmeer,0.0,0
228,Opsterland,13.5,4
229,Oss,88.6,81
230,Oude IJsselstreek,10.1,4
231,Ouder-Amstel,50.3,7
232,Oudewater,98.0,10
233,Overbetuwe,79.9,38
234,Papendrecht,18.6,6
235,Peel en Maas,203.2,88
236,Pekela,16.4,2
237,Pijnacker-Nootdorp,29.4,16
238,Purmerend,39.9,32
239,Putten,20.7,5
240,Raalte,26.7,10
241,Reimerswaal,30.9,7
242,Renkum,38.3,12
243,Renswoude,0.0,0
244,Reusel-De Mierden,7.7,1
245,Rheden,41.2,18
246,Rhenen,5.0,1
247,Ridderkerk,19.5,9
248,Rijssen-Holten,23.5,9
249,Rijswijk,18.7,10
250,Roerdalen,48.5,10
251,Roermond,48.1,28
252,Roosendaal,26.0,20
253,Rotterdam,28.9,186
254,Rozendaal,120.9,2
255,Rucphen,26.6,6
256,Schagen,23.6,11
257,Scherpenzeel,20.3,2
258,Schiedam,17.9,14
259,Schiermonnikoog,0.0,0
260,Schouwen-Duiveland,17.8,6
261,Simpelveld,76.1,8
262,Sint Anthonis,112.0,13
263,Sint-Michielsgestel,62.1,18
264,Sittard-Geleen,92.8,86
265,Sliedrecht,20.0,5
266,Sluis,21.4,5
267,Smallingerland,7.2,4
268,Soest,45.5,21
269,Someren,51.8,10
270,Son en Breugel,88.7,15
271,Stadskanaal,0.0,0
272,Staphorst,23.5,4
273,Stede Broec,59.9,13
274,Steenbergen,43.9,11
275,Steenwijkerland,13.7,6
276,Stein,96.1,24
277,Stichtse Vecht,34.2,22
278,Súdwest-Fryslân,8.9,8
279,Terneuzen,18.3,10
280,Terschelling,0.0,0
281,Texel,22.1,3
282,Teylingen,21.6,8
283,Tholen,50.4,13
284,Tiel,33.4,14
285,Tilburg,103.1,224
286,Tubbergen,18.8,4
287,Twenterand,8.9,3
288,Tynaarlo,38.6,13
289,Tytsjerksteradiel,6.3,2
290,Uden,225.0,94
291,Uitgeest,29.6,4
292,Uithoorn,17.0,5
293,Urk,33.7,7
294,Utrecht,54.1,191
295,Utrechtse Heuvelrug,30.3,15
296,Vaals,39.6,4
297,Valkenburg aan de Geul,54.6,9
298,Valkenswaard,29.1,9
299,Veendam,3.6,1
300,Veenendaal,10.7,7
301,Veere,27.5,6
302,Veldhoven,39.7,18
303,Velsen,21.9,15
304,Venlo,46.3,47
305,Venray,39.2,17
306,Vijfheerenlanden,37.7,21
307,Vlaardingen,30.4,22
308,Vlieland,0.0,0
309,Vlissingen,18.0,8
310,Voerendaal,48.2,6
311,Voorschoten,19.6,5
312,Voorst,24.6,6
313,Vught,83.3,22
314,Waadhoeke,0.0,0
315,Waalre,11.6,2
316,Waalwijk,70.5,34
317,Waddinxveen,17.7,5
318,Wageningen,7.7,3
319,Wassenaar,19.1,5
320,Waterland,63.5,11
321,Weert,48.2,24
322,Weesp,31.0,6
323,West Betuwe,37.5,19
324,West Maas en Waal,57.7,11
325,Westerkwartier,14.3,9
326,Westerveld,10.3,2
327,Westervoort,13.4,2
328,Westerwolde,11.9,3
329,Westland,25.8,28
330,Weststellingwerf,3.9,1
331,Westvoorne,54.7,8
332,Wierden,4.1,1
333,Wijchen,58.6,24
334,Wijdemeren,12.5,3
335,Wijk bij Duurstede,25.3,6
336,Winterswijk,6.9,2
337,Woensdrecht,22.9,5
338,Woerden,42.1,22
339,Wormerland,18.4,3
340,Woudenberg,45.6,6
341,Zaanstad,18.6,29
342,Zaltbommel,24.6,7
343,Zandvoort,35.3,6
344,Zeewolde,22.4,5
345,Zeist,39.1,25
346,Zevenaar,23.0,10
347,Zoetermeer,10.4,13
348,Zoeterwoude,11.8,1
349,Zuidplas,14.0,6
350,Zundert,64.8,14
351,Zutphen,16.8,8
352,Zwartewaterland,133.3,30
353,Zwijndrecht,20.2,9
354,Zwolle,36.9,47
