,Category,Aantal per 100.000 inwoners,Aantal
0,'s-Gravenhage,8.7,47
1,'s-Hertogenbosch,35.7,55
2,Aa en Hunze,3.9,1
3,Aalsmeer,22.1,7
4,Aalten,3.7,1
5,Achtkarspelen,0.0,0
6,Alblasserdam,19.9,4
7,Albrandswaard,47.5,12
8,Alkmaar,13.8,15
9,Almelo,6.9,5
10,Almere,6.7,14
11,Alphen aan den Rijn,15.3,17
12,Alphen-Chaam,88.7,9
13,Altena,41.5,23
14,Ameland,0.0,0
15,Amersfoort,23.7,37
16,Amstelveen,29.7,27
17,Amsterdam,21.8,188
18,Apeldoorn,10.5,17
19,Appingedam,0.0,0
20,Arnhem,10.0,16
21,Assen,2.9,2
22,Asten,29.9,5
23,Baarle-Nassau,14.6,1
24,Baarn,4.0,1
25,Barendrecht,20.5,10
26,Barneveld,15.5,9
27,Beek,31.4,5
28,Beekdaelen,53.2,19
29,Beemster,0.0,0
30,Beesel,37.0,5
31,Berg en Dal,86.2,30
32,Bergeijk,5.4,1
33,Bergen (L),7.6,1
34,Bergen (NH),26.7,8
35,Bergen op Zoom,15.0,10
36,Berkelland,2.3,1
37,Bernheze,185.0,57
38,Best,46.9,14
39,Beuningen,42.5,11
40,Beverwijk,17.0,7
41,Bladel,54.5,11
42,Blaricum,35.7,4
43,Bloemendaal,34.2,8
44,Bodegraven-Reeuwijk,14.5,5
45,Boekel,349.5,37
46,Borger-Odoorn,0.0,0
47,Borne,21.5,5
48,Borsele,13.2,3
49,Boxmeer,24.1,7
50,Boxtel,39.0,12
51,Breda,76.1,140
52,Brielle,5.8,1
53,Bronckhorst,16.6,6
54,Brummen,4.8,1
55,Brunssum,21.4,6
56,Bunnik,19.7,3
57,Bunschoten,0.0,0
58,Buren,18.8,5
59,Capelle aan den IJssel,10.5,7
60,Castricum,22.4,8
61,Coevorden,39.5,14
62,Cranendonck,63.6,13
63,Cuijk,16.0,4
64,Culemborg,17.5,5
65,Dalfsen,28.1,8
66,Dantumadiel,0.0,0
67,De Bilt,46.7,20
68,De Fryske Marren,15.6,8
69,De Ronde Venen,9.1,4
70,De Wolden,12.4,3
71,Delft,11.6,12
72,Delfzijl,0.0,0
73,Den Helder,5.4,3
74,Deurne,68.0,22
75,Deventer,16.0,16
76,Diemen,13.7,4
77,Dinkelland,53.1,14
78,Doesburg,35.9,4
79,Doetinchem,8.7,5
80,Dongen,7.7,2
81,Dordrecht,11.0,13
82,Drechterland,10.2,2
83,Drimmelen,51.6,14
84,Dronten,24.5,10
85,Druten,26.6,5
86,Duiven,7.9,2
87,Echt-Susteren,37.9,12
88,Edam-Volendam,13.9,5
89,Ede,13.8,16
90,Eemnes,11.0,1
91,Eersel,47.1,9
92,Eijsden-Margraten,23.4,6
93,Eindhoven,19.9,46
94,Elburg,13.0,3
95,Emmen,3.7,4
