,Category,Aantal per 100.000 inwoners,Aantal
0,'s-Gravenhage,11.7,63
1,'s-Hertogenbosch,43.4,67
2,Aa en Hunze,3.9,1
3,Aalsmeer,28.4,9
4,Aalten,3.7,1
5,Achtkarspelen,0.0,0
6,Alblasserdam,19.9,4
7,Albrandswaard,71.2,18
8,Alkmaar,18.4,20
9,Almelo,11.0,8
10,Almere,10.1,21
11,Alphen aan den Rijn,18.0,20
12,Alphen-Chaam,147.8,15
13,Altena,50.6,28
14,Ameland,0.0,0
15,Amersfoort,28.2,44
16,Amstelveen,36.3,33
17,Amsterdam,29.0,250
18,Apeldoorn,17.9,29
19,Appingedam,0.0,0
20,Arnhem,14.4,23
21,Assen,7.4,5
22,Asten,35.9,6
23,Baarle-Nassau,14.6,1
24,Baarn,8.1,2
25,Barendrecht,30.8,15
26,Barneveld,20.7,12
27,Beek,56.5,9
28,Beekdaelen,81.2,29
29,Beemster,10.3,1
30,Beesel,44.4,6
31,Berg en Dal,100.6,35
32,Bergeijk,27.0,5
33,Bergen (L),7.6,1
34,Bergen (NH),40.0,12
35,Bergen op Zoom,18.0,12
36,Berkelland,4.6,2
37,Bernheze,217.5,67
38,Best,57.0,17
39,Beuningen,50.2,13
40,Beverwijk,26.7,11
41,Bladel,69.4,14
42,Blaricum,35.7,4
43,Bloemendaal,55.5,13
44,Bodegraven-Reeuwijk,14.5,5
45,Boekel,396.7,42
46,Borger-Odoorn,0.0,0
47,Borne,34.5,8
48,Borsele,17.5,4
49,Boxmeer,31.0,9
50,Boxtel,48.8,15
51,Breda,90.8,167
52,Brielle,5.8,1
53,Bronckhorst,19.3,7
54,Brummen,19.3,4
55,Brunssum,60.5,17
56,Bunnik,39.5,6
57,Bunschoten,4.6,1
58,Buren,22.6,6
59,Capelle aan den IJssel,19.5,13
60,Castricum,28.0,10
61,Coevorden,42.3,15
62,Cranendonck,112.5,23
63,Cuijk,24.1,6
64,Culemborg,28.0,8
65,Dalfsen,38.6,11
66,Dantumadiel,0.0,0
67,De Bilt,63.0,27
68,De Fryske Marren,15.6,8
69,De Ronde Venen,18.2,8
70,De Wolden,12.4,3
71,Delft,16.5,17
72,Delfzijl,4.0,1
73,Den Helder,9.0,5
74,Deurne,77.3,25
75,Deventer,20.0,20
76,Diemen,13.7,4
77,Dinkelland,64.5,17
78,Doesburg,35.9,4
79,Doetinchem,13.9,8
80,Dongen,15.4,4
81,Dordrecht,19.4,23
82,Drechterland,15.3,3
83,Drimmelen,62.6,17
84,Dronten,27.0,11
85,Druten,31.9,6
86,Duiven,7.9,2
87,Echt-Susteren,47.4,15
88,Edam-Volendam,19.4,7
89,Ede,19.0,22
90,Eemnes,11.0,1
91,Eersel,68.0,13
92,Eijsden-Margraten,58.5,15
93,Eindhoven,29.4,68
94,Elburg,17.3,4
95,Emmen,6.5,7
96,Enkhuizen,54.0,10
97,Enschede,12.6,20
98,Epe,39.2,13
99,Ermelo,52.1,14
100,Etten-Leur,54.8,24
101,Geertruidenberg,46.5,10
102,Geldrop-Mierlo,22.7,9
103,Gemert-Bakel,210.2,64
104,Gennep,41.0,7
105,Gilze en Rijen,60.5,16
106,Goeree-Overflakkee,86.7,43
107,Goes,10.6,4
108,Goirle,67.2,16
109,Gooise Meren,20.8,12
110,Gorinchem,10.9,4
111,Gouda,23.2,17
112,Grave,88.1,11
113,Groningen,22.9,53
114,Gulpen-Wittem,28.1,4
115,Haaksbergen,12.4,3
116,Haaren,84.5,12
117,Haarlem,25.4,41
118,Haarlemmermeer,14.9,23
119,Halderberge,26.5,8
120,Hardenberg,9.9,6
121,Harderwijk,18.9,9
122,Hardinxveld-Giessendam,33.2,6
123,Harlingen,19.0,3
124,Hattem,16.4,2
125,Heemskerk,17.9,7
126,Heemstede,58.6,16
127,Heerde,80.9,15
128,Heerenveen,6.0,3
129,Heerhugowaard,26.4,15
130,Heerlen,53.0,46
131,Heeze-Leende,43.8,7
132,Heiloo,34.1,8
133,Hellendoorn,16.8,6
134,Hellevoetsluis,12.5,5
135,Helmond,60.1,55
136,Hendrik-Ido-Ambacht,6.5,2
137,Hengelo (O),19.8,16
138,Het Hogeland,2.1,1
139,Heumen,66.7,11
140,Heusden,43.0,19
141,Hillegom,13.7,3
142,Hilvarenbeek,52.2,8
143,Hilversum,7.8,7
144,Hoeksche Waard,35.8,31
145,Hof van Twente,14.3,5
146,Hollands Kroon,20.9,10
147,Hoogeveen,10.8,6
148,Hoorn,16.4,12
149,Horst aan de Maas,40.2,17
150,Houten,58.1,29
151,Huizen,7.3,3
152,Hulst,0.0,0
153,IJsselstein,46.8,16
154,Kaag en Braassem,14.9,4
155,Kampen,37.2,20
156,Kapelle,15.6,2
157,Katwijk,9.2,6
158,Kerkrade,37.2,17
159,Koggenland,17.6,4
160,Krimpen aan den IJssel,10.2,3
161,Krimpenerwaard,21.4,12
162,Laarbeek,76.1,17
163,Landerd,161.0,25
164,Landgraaf,47.9,18
165,Landsmeer,52.2,6
166,Langedijk,42.9,12
167,Lansingerland,39.0,24
168,Laren,26.8,3
169,Leeuwarden,8.1,10
170,Leiden,16.0,20
171,Leiderdorp,7.4,2
172,Leidschendam-Voorburg,17.2,13
173,Lelystad,30.8,24
174,Leudal,72.9,26
175,Leusden,30.0,9
176,Lingewaard,23.7,11
177,Lisse,4.4,1
178,Lochem,6.0,2
179,Loon op Zand,85.7,20
180,Lopik,69.1,10
181,Loppersum,0.0,0
182,Losser,4.4,1
183,Maasdriel,12.1,3
184,Maasgouw,37.9,9
185,Maassluis,21.4,7
186,Maastricht,77.3,94
187,Medemblik,8.9,4
188,Meerssen,42.3,8
189,Meierijstad,172.0,139
190,Meppel,8.9,3
191,Middelburg,12.4,6
192,Midden-Delfland,10.3,2
193,Midden-Drenthe,3.0,1
194,Midden-Groningen,3.3,2
195,Mill en Sint Hubert,45.9,5
196,Moerdijk,10.8,4
197,Molenlanden,29.6,13
198,Montferland,8.3,3
199,Montfoort,21.4,3
200,Mook en Middelaar,64.1,5
201,Neder-Betuwe,45.8,11
202,Nederweert,64.7,11
203,Nieuwegein,17.5,11
204,Nieuwkoop,14.0,4
205,Nijkerk,18.6,8
206,Nijmegen,52.6,93
207,Nissewaard,20.0,17
208,Noardeast-Fryslân,6.6,3
209,Noord-Beveland,13.7,1
210,Noordenveld,3.2,1
211,Noordoostpolder,8.5,4
212,Noordwijk,14.0,6
213,"Nuenen, Gerwen en Nederwetten",17.3,4
214,Nunspeet,80.1,22
215,Oegstgeest,32.8,8
216,Oirschot,21.5,4
217,Oisterwijk,61.2,16
218,Oldambt,0.0,0
219,Oldebroek,33.9,8
220,Oldenzaal,25.1,8
221,Olst-Wijhe,22.1,4
222,Ommen,33.7,6
223,Oost Gelre,20.2,6
224,Oosterhout,41.4,23
225,Ooststellingwerf,0.0,0
