,Category,Aantal per 100.000 inwoners,Aantal
226,Oostzaan,51.2,5
227,Opmeer,0.0,0
228,Opsterland,10.1,3
229,Oss,79.8,73
230,Oude IJsselstreek,10.1,4
231,Ouder-Amstel,50.3,7
232,Oudewater,68.6,7
233,Overbetuwe,69.4,33
234,Papendrecht,15.5,5
235,Peel en Maas,182.4,79
236,Pekela,16.4,2
237,Pijnacker-Nootdorp,25.8,14
238,Purmerend,28.7,23
239,Putten,12.4,3
240,Raalte,16.0,6
241,Reimerswaal,26.5,6
242,Renkum,35.1,11
243,Renswoude,0.0,0
244,Reusel-De Mierden,7.7,1
245,Rheden,34.4,15
246,Rhenen,5.0,1
247,Ridderkerk,15.1,7
248,Rijssen-Holten,10.4,4
249,Rijswijk,15.0,8
250,Roerdalen,48.5,10
251,Roermond,44.7,26
252,Roosendaal,23.4,18
253,Rotterdam,25.3,163
254,Rozendaal,120.9,2
255,Rucphen,26.6,6
256,Schagen,21.5,10
257,Scherpenzeel,20.3,2
258,Schiedam,12.8,10
259,Schiermonnikoog,0.0,0
260,Schouwen-Duiveland,8.9,3
261,Simpelveld,66.6,7
262,Sint Anthonis,112.0,13
263,Sint-Michielsgestel,58.6,17
264,Sittard-Geleen,90.7,84
265,Sliedrecht,16.0,4
266,Sluis,21.4,5
267,Smallingerland,5.4,3
268,Soest,43.3,20
269,Someren,36.2,7
270,Son en Breugel,76.9,13
271,Stadskanaal,0.0,0
272,Staphorst,23.5,4
273,Stede Broec,41.5,9
274,Steenbergen,35.9,9
275,Steenwijkerland,11.4,5
276,Stein,96.1,24
277,Stichtse Vecht,24.9,16
278,Súdwest-Fryslân,6.7,6
279,Terneuzen,11.0,6
280,Terschelling,0.0,0
281,Texel,22.1,3
282,Teylingen,18.9,7
283,Tholen,42.7,11
284,Tiel,19.1,8
285,Tilburg,97.1,211
286,Tubbergen,18.8,4
287,Twenterand,8.9,3
288,Tynaarlo,29.7,10
289,Tytsjerksteradiel,3.1,1
290,Uden,220.2,92
291,Uitgeest,29.6,4
292,Uithoorn,13.6,4
293,Urk,33.7,7
294,Utrecht,45.3,160
295,Utrechtse Heuvelrug,28.3,14
296,Vaals,29.7,3
297,Valkenburg aan de Geul,48.6,8
298,Valkenswaard,25.9,8
299,Veendam,0.0,0
300,Veenendaal,9.1,6
301,Veere,27.5,6
302,Veldhoven,30.9,14
303,Velsen,21.9,15
304,Venlo,39.4,40
305,Venray,30.0,13
306,Vijfheerenlanden,32.3,18
307,Vlaardingen,24.9,18
308,Vlieland,0.0,0
309,Vlissingen,18.0,8
310,Voerendaal,40.2,5
311,Voorschoten,11.8,3
312,Voorst,12.3,3
313,Vught,72.0,19
314,Waadhoeke,0.0,0
315,Waalre,17.4,3
316,Waalwijk,60.1,29
317,Waddinxveen,14.1,4
318,Wageningen,7.7,3
319,Wassenaar,19.1,5
320,Waterland,57.8,10
321,Weert,34.1,17
322,Weesp,10.3,2
323,West Betuwe,33.5,17
324,West Maas en Waal,41.9,8
325,Westerkwartier,12.7,8
326,Westerveld,10.3,2
327,Westervoort,13.4,2
328,Westerwolde,0.0,0
329,Westland,23.0,25
330,Weststellingwerf,3.9,1
331,Westvoorne,54.7,8
332,Wierden,0.0,0
333,Wijchen,56.2,23
334,Wijdemeren,4.2,1
335,Wijk bij Duurstede,25.3,6
336,Winterswijk,6.9,2
337,Woensdrecht,18.3,4
338,Woerden,36.4,19
339,Wormerland,12.2,2
340,Woudenberg,30.4,4
341,Zaanstad,12.8,20
342,Zaltbommel,24.6,7
343,Zandvoort,35.3,6
344,Zeewolde,17.9,4
345,Zeist,31.3,20
346,Zevenaar,23.0,10
347,Zoetermeer,6.4,8
348,Zoeterwoude,11.8,1
349,Zuidplas,7.0,3
350,Zundert,50.9,11
351,Zutphen,12.6,6
352,Zwartewaterland,97.8,22
353,Zwijndrecht,17.9,8
354,Zwolle,31.4,40
