,Category,Aantal per 100.000 inwoners,Aantal
0,'s-Gravenhage,3.9,21
1,'s-Hertogenbosch,19.5,30
2,Aa en Hunze,0.0,0
3,Aalsmeer,9.5,3
4,Aalten,0.0,0
5,Achtkarspelen,0.0,0
6,Alblasserdam,5.0,1
7,Albrandswaard,15.8,4
8,Alkmaar,4.6,5
9,Almelo,1.4,1
10,Almere,1.9,4
11,Alphen aan den Rijn,8.1,9
12,Alphen-Chaam,59.1,6
13,Altena,27.1,15
14,Ameland,0.0,0
15,Amersfoort,14.7,23
16,Amstelveen,7.7,7
17,Amsterdam,7.1,61
18,Apeldoorn,6.2,10
19,Appingedam,0.0,0
20,Arnhem,5.7,9
21,Assen,0.0,0
22,Asten,12.0,2
23,Baarle-Nassau,0.0,0
24,Baarn,0.0,0
25,Barendrecht,6.2,3
26,Barneveld,8.6,5
27,Beek,18.8,3
28,Beekdaelen,50.4,18
29,Beemster,0.0,0
30,Beesel,0.0,0
31,Berg en Dal,40.2,14
32,Bergeijk,5.4,1
33,Bergen (L),7.6,1
34,Bergen (NH),6.7,2
35,Bergen op Zoom,7.5,5
36,Berkelland,0.0,0
37,Bernheze,84.4,26
38,Best,20.1,6
39,Beuningen,23.2,6
40,Beverwijk,14.6,6
41,Bladel,9.9,2
42,Blaricum,17.9,2
43,Bloemendaal,12.8,3
44,Bodegraven-Reeuwijk,2.9,1
45,Boekel,179.4,19
46,Borger-Odoorn,0.0,0
47,Borne,12.9,3
48,Borsele,8.8,2
49,Boxmeer,6.9,2
50,Boxtel,16.3,5
51,Breda,57.1,105
52,Brielle,0.0,0
53,Bronckhorst,5.5,2
54,Brummen,0.0,0
55,Brunssum,14.2,4
56,Bunnik,0.0,0
57,Bunschoten,0.0,0
58,Buren,15.1,4
59,Capelle aan den IJssel,1.5,1
60,Castricum,14.0,5
61,Coevorden,33.8,12
62,Cranendonck,29.4,6
63,Cuijk,8.0,2
64,Culemborg,14.0,4
65,Dalfsen,3.5,1
66,Dantumadiel,0.0,0
67,De Bilt,37.4,16
68,De Fryske Marren,9.7,5
69,De Ronde Venen,4.5,2
70,De Wolden,4.1,1
71,Delft,3.9,4
72,Delfzijl,0.0,0
73,Den Helder,1.8,1
74,Deurne,24.7,8
75,Deventer,5.0,5
76,Diemen,6.9,2
77,Dinkelland,22.8,6
78,Doesburg,9.0,1
79,Doetinchem,0.0,0
80,Dongen,19.2,5
81,Dordrecht,3.4,4
82,Drechterland,0.0,0
83,Drimmelen,44.2,12
84,Dronten,19.6,8
85,Druten,26.6,5
86,Duiven,7.9,2
87,Echt-Susteren,19.0,6
88,Edam-Volendam,0.0,0
89,Ede,4.3,5
90,Eemnes,11.0,1
91,Eersel,20.9,4
92,Eijsden-Margraten,15.6,4
93,Eindhoven,9.9,23
94,Elburg,4.3,1
95,Emmen,1.9,2
96,Enkhuizen,5.4,1
97,Enschede,2.5,4
98,Epe,12.1,4
99,Ermelo,29.8,8
100,Etten-Leur,29.7,13
101,Geertruidenberg,32.5,7
102,Geldrop-Mierlo,7.6,3
103,Gemert-Bakel,85.4,26
104,Gennep,11.7,2
105,Gilze en Rijen,11.4,3
106,Goeree-Overflakkee,14.1,7
107,Goes,8.0,3
108,Goirle,37.8,9
109,Gooise Meren,15.6,9
110,Gorinchem,0.0,0
111,Gouda,9.6,7
112,Grave,8.0,1
113,Groningen,4.8,11
114,Gulpen-Wittem,14.0,2
115,Haaksbergen,4.1,1
116,Haaren,63.4,9
117,Haarlem,4.3,7
118,Haarlemmermeer,2.6,4
119,Halderberge,6.6,2
120,Hardenberg,0.0,0
121,Harderwijk,10.5,5
122,Hardinxveld-Giessendam,27.7,5
123,Harlingen,6.3,1
124,Hattem,0.0,0
125,Heemskerk,5.1,2
126,Heemstede,18.3,5
127,Heerde,16.2,3
128,Heerenveen,0.0,0
129,Heerhugowaard,3.5,2
130,Heerlen,16.1,14
131,Heeze-Leende,25.1,4
132,Heiloo,12.8,3
133,Hellendoorn,5.6,2
134,Hellevoetsluis,2.5,1
135,Helmond,21.9,20
136,Hendrik-Ido-Ambacht,0.0,0
137,Hengelo (O),5.0,4
138,Het Hogeland,0.0,0
139,Heumen,30.3,5
140,Heusden,11.3,5
141,Hillegom,4.6,1
142,Hilvarenbeek,26.1,4
143,Hilversum,3.3,3
144,Hoeksche Waard,9.2,8
145,Hof van Twente,8.6,3
146,Hollands Kroon,2.1,1
147,Hoogeveen,5.4,3
148,Hoorn,1.4,1
149,Horst aan de Maas,18.9,8
150,Houten,28.0,14
151,Huizen,4.8,2
152,Hulst,0.0,0
153,IJsselstein,20.5,7
154,Kaag en Braassem,0.0,0
155,Kampen,3.7,2
156,Kapelle,15.6,2
157,Katwijk,3.1,2
158,Kerkrade,6.6,3
159,Koggenland,4.4,1
160,Krimpen aan den IJssel,3.4,1
161,Krimpenerwaard,7.1,4
162,Laarbeek,9.0,2
163,Landerd,103.0,16
164,Landgraaf,18.6,7
165,Landsmeer,26.1,3
166,Langedijk,14.3,4
167,Lansingerland,16.2,10
168,Laren,0.0,0
169,Leeuwarden,3.2,4
170,Leiden,8.8,11
171,Leiderdorp,7.4,2
172,Leidschendam-Voorburg,8.0,6
173,Lelystad,15.4,12
174,Leudal,30.8,11
175,Leusden,10.0,3
176,Lingewaard,8.6,4
177,Lisse,0.0,0
178,Lochem,3.0,1
179,Loon op Zand,38.6,9
180,Lopik,20.7,3
181,Loppersum,0.0,0
182,Losser,0.0,0
183,Maasdriel,4.0,1
184,Maasgouw,16.9,4
185,Maassluis,6.1,2
186,Maastricht,33.7,41
187,Medemblik,0.0,0
188,Meerssen,10.6,2
189,Meierijstad,74.2,60
190,Meppel,0.0,0
191,Middelburg,4.1,2
192,Midden-Delfland,0.0,0
193,Midden-Drenthe,0.0,0
194,Midden-Groningen,3.3,2
195,Mill en Sint Hubert,9.2,1
196,Moerdijk,2.7,1
197,Molenlanden,16.0,7
198,Montferland,2.8,1
199,Montfoort,0.0,0
200,Mook en Middelaar,0.0,0
201,Neder-Betuwe,16.6,4
202,Nederweert,41.2,7
203,Nieuwegein,6.3,4
204,Nieuwkoop,3.5,1
205,Nijkerk,4.7,2
206,Nijmegen,23.2,41
207,Nissewaard,4.7,4
208,Noardeast-Fryslân,0.0,0
209,Noord-Beveland,0.0,0
210,Noordenveld,3.2,1
211,Noordoostpolder,4.3,2
212,Noordwijk,4.7,2
213,"Nuenen, Gerwen en Nederwetten",4.3,1
214,Nunspeet,10.9,3
215,Oegstgeest,16.4,4
216,Oirschot,5.4,1
217,Oisterwijk,38.3,10
218,Oldambt,0.0,0
219,Oldebroek,21.2,5
220,Oldenzaal,6.3,2
221,Olst-Wijhe,0.0,0
222,Ommen,11.2,2
223,Oost Gelre,0.0,0
224,Oosterhout,16.2,9
225,Ooststellingwerf,0.0,0
226,Oostzaan,20.5,2
227,Opmeer,0.0,0
228,Opsterland,6.7,2
229,Oss,21.9,20
230,Oude IJsselstreek,5.1,2
231,Ouder-Amstel,21.6,3
232,Oudewater,9.8,1
233,Overbetuwe,18.9,9
234,Papendrecht,0.0,0
235,Peel en Maas,83.1,36
236,Pekela,8.2,1
237,Pijnacker-Nootdorp,20.2,11
238,Purmerend,5.0,4
239,Putten,8.3,2
240,Raalte,8.0,3
241,Reimerswaal,13.2,3
242,Renkum,25.6,8
243,Renswoude,0.0,0
244,Reusel-De Mierden,0.0,0
245,Rheden,6.9,3
246,Rhenen,0.0,0
247,Ridderkerk,2.2,1
248,Rijssen-Holten,0.0,0
249,Rijswijk,5.6,3
250,Roerdalen,4.9,1
251,Roermond,10.3,6
252,Roosendaal,7.8,6
253,Rotterdam,9.0,58
254,Rozendaal,120.9,2
255,Rucphen,4.4,1
256,Schagen,10.7,5
257,Scherpenzeel,0.0,0
258,Schiedam,1.3,1
259,Schiermonnikoog,0.0,0
260,Schouwen-Duiveland,5.9,2
261,Simpelveld,47.5,5
262,Sint Anthonis,43.1,5
263,Sint-Michielsgestel,34.5,10
264,Sittard-Geleen,55.0,51
265,Sliedrecht,4.0,1
266,Sluis,8.6,2
267,Smallingerland,5.4,3
268,Soest,26.0,12
269,Someren,15.5,3
270,Son en Breugel,23.7,4
271,Stadskanaal,0.0,0
272,Staphorst,5.9,1
273,Stede Broec,4.6,1
274,Steenbergen,8.0,2
275,Steenwijkerland,2.3,1
276,Stein,16.0,4
277,Stichtse Vecht,14.0,9
278,Súdwest-Fryslân,2.2,2
279,Terneuzen,5.5,3
280,Terschelling,0.0,0
281,Texel,0.0,0
282,Teylingen,5.4,2
283,Tholen,7.8,2
284,Tiel,9.5,4
285,Tilburg,43.7,95
286,Tubbergen,4.7,1
287,Twenterand,0.0,0
288,Tynaarlo,8.9,3
289,Tytsjerksteradiel,3.1,1
290,Uden,126.8,53
291,Uitgeest,0.0,0
292,Uithoorn,3.4,1
293,Urk,4.8,1
294,Utrecht,19.6,69
295,Utrechtse Heuvelrug,12.1,6
296,Vaals,0.0,0
297,Valkenburg aan de Geul,12.1,2
298,Valkenswaard,3.2,1
299,Veendam,0.0,0
300,Veenendaal,1.5,1
301,Veere,4.6,1
302,Veldhoven,2.2,1
303,Velsen,5.9,4
304,Venlo,11.8,12
305,Venray,2.3,1
306,Vijfheerenlanden,7.2,4
307,Vlaardingen,2.8,2
308,Vlieland,0.0,0
309,Vlissingen,9.0,4
310,Voerendaal,24.1,3
311,Voorschoten,3.9,1
312,Voorst,4.1,1
313,Vught,26.5,7
314,Waadhoeke,0.0,0
315,Waalre,11.6,2
316,Waalwijk,24.9,12
317,Waddinxveen,3.5,1
318,Wageningen,2.6,1
319,Wassenaar,11.4,3
320,Waterland,23.1,4
321,Weert,0.0,0
322,Weesp,0.0,0
323,West Betuwe,11.8,6
324,West Maas en Waal,15.7,3
325,Westerkwartier,1.6,1
326,Westerveld,0.0,0
327,Westervoort,0.0,0
328,Westerwolde,0.0,0
329,Westland,5.5,6
330,Weststellingwerf,0.0,0
331,Westvoorne,20.5,3
332,Wierden,0.0,0
333,Wijchen,19.5,8
334,Wijdemeren,4.2,1
335,Wijk bij Duurstede,16.8,4
336,Winterswijk,0.0,0
337,Woensdrecht,0.0,0
338,Woerden,7.7,4
339,Wormerland,0.0,0
340,Woudenberg,15.2,2
341,Zaanstad,1.3,2
342,Zaltbommel,10.5,3
343,Zandvoort,5.9,1
344,Zeewolde,13.4,3
345,Zeist,18.8,12
346,Zevenaar,4.6,2
347,Zoetermeer,0.8,1
348,Zoeterwoude,0.0,0
349,Zuidplas,0.0,0
350,Zundert,27.8,6
351,Zutphen,2.1,1
352,Zwartewaterland,17.8,4
353,Zwijndrecht,11.2,5
354,Zwolle,9.4,12
