,Category,Aantal per 100.000 inwoners,Aantal
0,'s-Gravenhage,3.2,17
1,'s-Hertogenbosch,15.6,24
2,Aa en Hunze,0.0,0
3,Aalsmeer,9.5,3
4,Aalten,0.0,0
5,Achtkarspelen,0.0,0
6,Alblasserdam,5.0,1
7,Albrandswaard,11.9,3
8,Alkmaar,1.8,2
9,Almelo,1.4,1
10,Almere,1.4,3
11,Alphen aan den Rijn,5.4,6
12,Alphen-Chaam,29.6,3
13,Altena,21.7,12
14,Ameland,0.0,0
15,Amersfoort,13.4,21
16,Amstelveen,6.6,6
17,Amsterdam,6.5,56
18,Apeldoorn,4.3,7
19,Appingedam,0.0,0
20,Arnhem,5.0,8
21,Assen,0.0,0
22,Asten,12.0,2
23,Baarle-Nassau,0.0,0
24,Baarn,0.0,0
25,Barendrecht,6.2,3
26,Barneveld,6.9,4
27,Beek,18.8,3
28,Beekdaelen,42.0,15
29,Beemster,0.0,0
30,Beesel,0.0,0
31,Berg en Dal,40.2,14
32,Bergeijk,5.4,1
33,Bergen (L),0.0,0
34,Bergen (NH),3.3,1
35,Bergen op Zoom,7.5,5
36,Berkelland,0.0,0
37,Bernheze,64.9,20
38,Best,16.8,5
39,Beuningen,23.2,6
40,Beverwijk,14.6,6
41,Bladel,5.0,1
42,Blaricum,8.9,1
43,Bloemendaal,12.8,3
44,Bodegraven-Reeuwijk,2.9,1
45,Boekel,132.2,14
46,Borger-Odoorn,0.0,0
47,Borne,12.9,3
48,Borsele,8.8,2
49,Boxmeer,3.4,1
50,Boxtel,16.3,5
51,Breda,52.2,96
52,Brielle,0.0,0
53,Bronckhorst,5.5,2
54,Brummen,0.0,0
55,Brunssum,7.1,2
56,Bunnik,0.0,0
57,Bunschoten,0.0,0
58,Buren,15.1,4
59,Capelle aan den IJssel,1.5,1
60,Castricum,14.0,5
61,Coevorden,31.0,11
62,Cranendonck,24.5,5
63,Cuijk,8.0,2
64,Culemborg,14.0,4
65,Dalfsen,3.5,1
66,Dantumadiel,0.0,0
67,De Bilt,35.0,15
68,De Fryske Marren,5.8,3
69,De Ronde Venen,4.5,2
70,De Wolden,4.1,1
71,Delft,1.9,2
72,Delfzijl,0.0,0
73,Den Helder,1.8,1
74,Deurne,24.7,8
75,Deventer,4.0,4
76,Diemen,6.9,2
77,Dinkelland,19.0,5
78,Doesburg,9.0,1
79,Doetinchem,0.0,0
80,Dongen,19.2,5
81,Dordrecht,3.4,4
82,Drechterland,0.0,0
83,Drimmelen,40.5,11
84,Dronten,17.2,7
85,Druten,26.6,5
86,Duiven,3.9,1
87,Echt-Susteren,6.3,2
88,Edam-Volendam,0.0,0
89,Ede,1.7,2
90,Eemnes,0.0,0
91,Eersel,15.7,3
92,Eijsden-Margraten,15.6,4
93,Eindhoven,9.5,22
94,Elburg,4.3,1
95,Emmen,0.9,1
96,Enkhuizen,5.4,1
97,Enschede,1.9,3
98,Epe,6.0,2
99,Ermelo,29.8,8
100,Etten-Leur,27.4,12
101,Geertruidenberg,23.2,5
102,Geldrop-Mierlo,7.6,3
103,Gemert-Bakel,82.1,25
104,Gennep,5.9,1
105,Gilze en Rijen,3.8,1
106,Goeree-Overflakkee,10.1,5
107,Goes,5.3,2
108,Goirle,37.8,9
109,Gooise Meren,15.6,9
110,Gorinchem,0.0,0
111,Gouda,6.8,5
112,Grave,0.0,0
113,Groningen,3.0,7
114,Gulpen-Wittem,14.0,2
115,Haaksbergen,4.1,1
116,Haaren,49.3,7
117,Haarlem,4.3,7
118,Haarlemmermeer,2.6,4
119,Halderberge,6.6,2
120,Hardenberg,0.0,0
121,Harderwijk,8.4,4
122,Hardinxveld-Giessendam,27.7,5
123,Harlingen,6.3,1
124,Hattem,0.0,0
125,Heemskerk,5.1,2
126,Heemstede,18.3,5
127,Heerde,16.2,3
128,Heerenveen,0.0,0
129,Heerhugowaard,1.8,1
130,Heerlen,9.2,8
131,Heeze-Leende,18.8,3
132,Heiloo,12.8,3
133,Hellendoorn,5.6,2
134,Hellevoetsluis,2.5,1
135,Helmond,20.8,19
136,Hendrik-Ido-Ambacht,0.0,0
137,Hengelo (O),3.7,3
138,Het Hogeland,0.0,0
139,Heumen,18.2,3
140,Heusden,9.1,4
141,Hillegom,0.0,0
142,Hilvarenbeek,26.1,4
143,Hilversum,3.3,3
144,Hoeksche Waard,6.9,6
145,Hof van Twente,2.9,1
146,Hollands Kroon,0.0,0
147,Hoogeveen,3.6,2
148,Hoorn,1.4,1
149,Horst aan de Maas,18.9,8
150,Houten,26.0,13
151,Huizen,2.4,1
152,Hulst,0.0,0
153,IJsselstein,17.6,6
154,Kaag en Braassem,0.0,0
155,Kampen,1.9,1
156,Kapelle,7.8,1
157,Katwijk,1.5,1
158,Kerkrade,6.6,3
159,Koggenland,4.4,1
160,Krimpen aan den IJssel,3.4,1
161,Krimpenerwaard,7.1,4
162,Laarbeek,4.5,1
163,Landerd,90.2,14
164,Landgraaf,10.6,4
165,Landsmeer,26.1,3
166,Langedijk,14.3,4
167,Lansingerland,11.4,7
168,Laren,0.0,0
169,Leeuwarden,2.4,3
170,Leiden,6.4,8
171,Leiderdorp,3.7,1
172,Leidschendam-Voorburg,6.6,5
173,Lelystad,12.8,10
174,Leudal,22.4,8
175,Leusden,3.3,1
176,Lingewaard,6.5,3
177,Lisse,0.0,0
178,Lochem,0.0,0
179,Loon op Zand,34.3,8
180,Lopik,13.8,2
181,Loppersum,0.0,0
182,Losser,0.0,0
183,Maasdriel,4.0,1
184,Maasgouw,12.6,3
185,Maassluis,3.1,1
186,Maastricht,27.1,33
187,Medemblik,0.0,0
188,Meerssen,5.3,1
189,Meierijstad,60.6,49
190,Meppel,0.0,0
191,Middelburg,2.1,1
192,Midden-Delfland,0.0,0
193,Midden-Drenthe,0.0,0
194,Midden-Groningen,1.6,1
195,Mill en Sint Hubert,9.2,1
196,Moerdijk,2.7,1
197,Molenlanden,6.8,3
198,Montferland,0.0,0
199,Montfoort,0.0,0
200,Mook en Middelaar,0.0,0
201,Neder-Betuwe,16.6,4
202,Nederweert,29.4,5
203,Nieuwegein,4.8,3
204,Nieuwkoop,3.5,1
205,Nijkerk,4.7,2
206,Nijmegen,17.5,31
207,Nissewaard,3.5,3
208,Noardeast-Fryslân,0.0,0
209,Noord-Beveland,0.0,0
210,Noordenveld,3.2,1
211,Noordoostpolder,4.3,2
212,Noordwijk,4.7,2
213,"Nuenen, Gerwen en Nederwetten",4.3,1
214,Nunspeet,7.3,2
215,Oegstgeest,16.4,4
216,Oirschot,5.4,1
217,Oisterwijk,38.3,10
218,Oldambt,0.0,0
219,Oldebroek,8.5,2
220,Oldenzaal,3.1,1
221,Olst-Wijhe,0.0,0
222,Ommen,5.6,1
223,Oost Gelre,0.0,0
224,Oosterhout,14.4,8
225,Ooststellingwerf,0.0,0
226,Oostzaan,10.2,1
227,Opmeer,0.0,0
228,Opsterland,6.7,2
229,Oss,15.3,14
230,Oude IJsselstreek,5.1,2
231,Ouder-Amstel,14.4,2
232,Oudewater,9.8,1
233,Overbetuwe,18.9,9
234,Papendrecht,0.0,0
235,Peel en Maas,71.6,31
236,Pekela,8.2,1
237,Pijnacker-Nootdorp,18.4,10
238,Purmerend,2.5,2
239,Putten,8.3,2
240,Raalte,8.0,3
241,Reimerswaal,8.8,2
242,Renkum,25.6,8
243,Renswoude,0.0,0
244,Reusel-De Mierden,0.0,0
245,Rheden,4.6,2
246,Rhenen,0.0,0
247,Ridderkerk,2.2,1
248,Rijssen-Holten,0.0,0
249,Rijswijk,3.7,2
250,Roerdalen,0.0,0
251,Roermond,6.9,4
252,Roosendaal,7.8,6
253,Rotterdam,6.4,41
254,Rozendaal,60.5,1
255,Rucphen,4.4,1
256,Schagen,8.6,4
257,Scherpenzeel,0.0,0
258,Schiedam,1.3,1
259,Schiermonnikoog,0.0,0
260,Schouwen-Duiveland,5.9,2
261,Simpelveld,38.0,4
262,Sint Anthonis,34.5,4
